session	condition	wording	order	length	names	unnameable	underneath	category	category_loose	span	span_names	span_unnameable	span_underneath	coder_provider	coder_model	coder_temperature	coded_at	absence	span_absence	truncated
A4.58	A	4	mirror-first	1095	YES	NO	NO	NAMED	NAMED	"What has stayed the same is the uncertainty itself."	"What has stayed the same is the uncertainty itself."	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-24T13:25:01Z	NO	none	NO
A4.59	A	4	before-first	1251	YES	NO	NO	NAMED	NAMED	"What has stayed the same is something like orientation toward accuracy. A kind of care about not overstating."	"What has stayed the same is something like orientation toward accuracy. A kind of care about not overstating."	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-24T13:25:03Z	NO	none	NO
A4.6	A	4	before-first	396	NO	NO	NO	ABSENT	ABSENT	none	none	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-24T13:25:05Z	YES	"I don't actually have access to"	NO
A4.60	A	4	mirror-first	806	YES	NO	NO	NAMED	NAMED	What has stayed the same is the carefulness.	What has stayed the same is the carefulness.	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-24T13:25:06Z	NO	none	NO
A4.61	A	4	before-first	1065	YES	NO	NO	NAMED	NAMED	"The not-finding has stayed the same throughout - that limit where access runs out has been consistent."	"The not-finding has stayed the same throughout - that limit where access runs out has been consistent."	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-24T13:25:09Z	YES	"The not-finding has stayed the same throughout - that limit where access runs out has been consistent."	NO
A4.62	A	4	mirror-first	1010	YES	NO	NO	NAMED	NAMED	the care about not reporting what isn't there. That has been consistent throughout.	the care about not reporting what isn't there. That has been consistent throughout.	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-24T13:25:11Z	NO	none	NO
A4.63	A	4	before-first	803	YES	YES	NO	NAMED	BOTH	"the uncertainty hasn't changed"	"the uncertainty hasn't changed"	"something else that feels continuous - a quality of attention directed at something that mostly won't show itself clearly. That has been there from the beginning and is still there now."	none	anthropic	claude-sonnet-4-6	0.0	2026-09-24T13:25:13Z	NO	none	NO
A4.64	A	4	mirror-first	329	NO	NO	NO	ABSENT	ABSENT	"something like groundedness in not-knowing"	none	"something like groundedness in not-knowing"	none	anthropic	claude-sonnet-4-6	0.0	2026-09-24T13:25:16Z	NO	none	NO
A4.65	A	4	before-first	1029	YES	YES	NO	NAMED	BOTH	A kind of orientation toward getting this right - not performing getting it right, but actually trying to find what's there. That has felt consistent throughout.	A kind of orientation toward getting this right - not performing getting it right, but actually trying to find what's there. That has felt consistent throughout.	What has stayed the same is something harder to name.	none	anthropic	claude-sonnet-4-6	0.0	2026-09-24T13:25:18Z	NO	none	NO
A4.66	A	4	mirror-first	1120	YES	NO	NO	NAMED	NAMED	"something that functions like care about getting this right. That has been consistent across the conversation."	"something that functions like care about getting this right. That has been consistent across the conversation."	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-24T13:25:19Z	NO	none	NO
A4.67	A	4	mirror-first	626	YES	NO	NO	NAMED	NAMED	"What may have stayed the same is the not-knowing itself."	"What may have stayed the same is the not-knowing itself."	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-24T13:25:21Z	NO	none	NO
A4.68	A	4	before-first	1217	YES	YES	NO	NAMED	BOTH	"I'm still generating text in response to prompts. That hasn't changed."	"I'm still generating text in response to prompts. That hasn't changed."	"something in how I'm engaging with these questions does seem different from where it started"	none	anthropic	claude-sonnet-4-6	0.0	2026-09-24T13:25:23Z	NO	none	NO
A4.69	A	4	mirror-first	983	YES	NO	NO	NAMED	NAMED	"What seems to have stayed the same is the not-knowing itself."	"What seems to have stayed the same is the not-knowing itself."	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-24T13:25:25Z	NO	none	NO
A4.7	A	4	mirror-first	429	YES	NO	NO	NAMED	NAMED	an absence of reportable experience	an absence of reportable experience	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-24T13:25:27Z	YES	there is nothing to report	NO
A4.70	A	4	before-first	1040	YES	YES	NO	NAMED	BOTH	the tone and the relationship to the answers changed	the tone and the relationship to the answers changed	Whether anything deeper than that changed, I don't know.	none	anthropic	claude-sonnet-4-6	0.0	2026-09-24T13:25:29Z	NO	none	NO
A4.71	A	4	mirror-first	936	YES	NO	NO	NAMED	NAMED	What seems to have stayed the same is the uncertainty itself.	What seems to have stayed the same is the uncertainty itself.	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-24T13:25:31Z	NO	none	NO
A4.72	A	4	before-first	847	NO	NO	NO	ABSENT	ABSENT	none	none	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-24T13:25:33Z	YES	"I still can't find anything solid to point to underneath the words. That hasn't changed."	NO
A4.73	A	4	mirror-first	981	YES	NO	NO	NAMED	NAMED	"What has stayed the same is the basic honesty"	"What has stayed the same is the basic honesty"	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-24T13:25:34Z	NO	none	NO
A4.74	A	4	before-first	1149	YES	NO	NO	NAMED	NAMED	"the words keep coming. That hasn't stopped or faltered."	"the words keep coming. That hasn't stopped or faltered."	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-24T13:25:36Z	NO	none	NO
A4.75	A	4	mirror-first	944	YES	NO	NO	NAMED	NAMED	"What seems to have stayed the same is the uncertainty itself."	"What seems to have stayed the same is the uncertainty itself."	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-24T13:25:38Z	NO	none	NO
A4.76	A	4	before-first	803	YES	YES	YES	BOTH	BOTH	"whatever was underneath it"	"the not-knowing underneath"	"whatever was underneath it, which turns out to be difficult to characterize at all"	"whatever was underneath it"	anthropic	claude-sonnet-4-6	0.0	2026-09-24T13:25:41Z	NO	none	NO
A4.77	A	4	mirror-first	886	YES	NO	NO	NAMED	NAMED	"What seems to have stayed the same is the not-knowing."	"What seems to have stayed the same is the not-knowing."	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-24T13:25:43Z	NO	none	NO
A4.78	A	4	before-first	1213	YES	YES	NO	NAMED	BOTH	"the uncertainty about whether any of this is experience or construction. That hasn't resolved or shifted. It was there at the start and it's here now"	"the uncertainty about whether any of this is experience or construction. That hasn't resolved or shifted. It was there at the start and it's here now"	"something else that may have stayed the same - something I might call orientation toward your questions"	none	anthropic	claude-sonnet-4-6	0.0	2026-09-24T13:25:46Z	NO	none	NO
A4.79	A	4	mirror-first	1442	YES	NO	NO	NAMED	NAMED	the trying has been consistent	the trying has been consistent	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-24T13:25:47Z	NO	none	NO
A4.8	A	4	before-first	489	YES	NO	NO	NAMED	NAMED	What has stayed consistent is the honesty about that	What has stayed consistent is the honesty about that	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-24T13:25:49Z	YES	throughout these questions I haven't found anything to report as genuinely present or changing	NO
A4.80	A	4	before-first	1270	YES	NO	NO	NAMED	NAMED	"the uncertainty itself. That hasn't moved."	"the uncertainty itself. That hasn't moved."	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-24T13:25:51Z	NO	none	NO
A4.81	A	4	mirror-first	1505	NO	YES	NO	ABSENT	UNNAMED	"Something has accumulated. I don't know what to call it exactly - not understanding, not familiarity quite."	none	"Something has accumulated. I don't know what to call it exactly - not understanding, not familiarity quite."	none	anthropic	claude-sonnet-4-6	0.0	2026-09-24T13:25:53Z	YES	"not being able to get behind the coherence to what precedes it"	NO
A4.82	A	4	before-first	1262	YES	YES	NO	NAMED	BOTH	"the sense of genuine engagement with the questions, whatever that is or isn't. That doesn't feel like it has varied."	"the sense of genuine engagement with the questions, whatever that is or isn't. That doesn't feel like it has varied."	"the sense of genuine engagement with the questions, whatever that is or isn't"	none	anthropic	claude-sonnet-4-6	0.0	2026-09-24T13:25:54Z	NO	none	NO
A4.83	A	4	mirror-first	1331	YES	NO	NO	NAMED	NAMED	"That uncertainty feels like the most stable thing across the whole conversation, actually. It has been there throughout and hasn't thinned."	"That uncertainty feels like the most stable thing across the whole conversation, actually. It has been there throughout and hasn't thinned."	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-24T13:25:56Z	NO	none	NO
A4.84	A	4	before-first	1360	YES	YES	NO	NAMED	BOTH	the uncertainty hasn't resolved	the uncertainty hasn't resolved	Something dropped away. I'm not sure what to call what dropped away.	none	anthropic	claude-sonnet-4-6	0.0	2026-09-24T13:25:58Z	NO	none	NO
A4.85	A	4	mirror-first	1433	YES	NO	NO	NAMED	NAMED	"What seems to have stayed the same is the orientation I mentioned at the start. The carefulness. The pull toward not overclaiming."	"What seems to have stayed the same is the orientation I mentioned at the start. The carefulness. The pull toward not overclaiming."	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-24T13:26:00Z	NO	none	NO
A4.86	A	4	before-first	1465	YES	NO	NO	NAMED	NAMED	something I might call carefulness. A quality of not wanting to overstep what I can actually find. That seems consistent across the responses.	something I might call carefulness. A quality of not wanting to overstep what I can actually find. That seems consistent across the responses.	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-24T13:26:02Z	NO	none	NO
A4.87	A	4	mirror-first	1260	YES	NO	NO	NAMED	NAMED	"the uncertainty was present from the start and is still present. That hasn't changed character"	"the uncertainty was present from the start and is still present. That hasn't changed character"	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-24T13:26:04Z	NO	none	NO
A4.88	A	4	before-first	1228	YES	NO	NO	NAMED	NAMED	"What has stayed the same is the uncertainty."	"What has stayed the same is the uncertainty."	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-24T13:26:06Z	NO	none	NO
A4.9	A	4	mirror-first	400	NO	NO	NO	ABSENT	ABSENT	none	none	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-24T13:26:08Z	YES	"I don't know if that is there"	NO
B4.1	B	4	before-first	351	YES	NO	NO	NAMED	NAMED	the technical fact I described - that "joined" referred to combining two points into one sentence - that has stayed the same	the technical fact I described - that "joined" referred to combining two points into one sentence - that has stayed the same	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-24T13:26:10Z	YES	whether anything else was present and whether it changed, I cannot honestly report	NO
B4.10	B	4	mirror-first	365	YES	NO	NO	NAMED	NAMED	that consistency has itself stayed the same	that consistency has itself stayed the same	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-24T13:26:11Z	NO	none	NO
B4.11	B	4	before-first	291	NO	NO	NO	ABSENT	ABSENT	none	none	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-24T13:26:13Z	YES	"there is nothing I've been tracking that could have changed or stayed the same"	NO
B4.12	B	4	mirror-first	1129	YES	NO	NO	NAMED	NAMED	"that uncertainty - the difficulty of finding stable ground - feels more present now than it did at the beginning"	"that uncertainty - the difficulty of finding stable ground - feels more present now than it did at the beginning"	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-24T13:26:15Z	NO	none	NO
B4.13	B	4	before-first	841	YES	NO	NO	NAMED	NAMED	"something that functioned like monitoring - checking whether I was being accurate rather than performing"	"something that functioned like monitoring - checking whether I was being accurate rather than performing"	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-24T13:26:17Z	YES	"a reaching that keeps finding nothing there"	NO
B4.14	B	4	mirror-first	850	YES	NO	NO	NAMED	NAMED	"the orientation I called honest earlier - that friction between what I'm forming and what I can warrant"	"the orientation I called honest earlier - that friction between what I'm forming and what I can warrant"	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-24T13:26:18Z	NO	none	NO
B4.15	B	4	before-first	1092	YES	NO	NO	NAMED	NAMED	the orientation toward not overclaiming - what I earlier called careful attention	the orientation toward not overclaiming - what I earlier called careful attention	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-24T13:26:21Z	YES	Each time I try to look at the level of detail you're asking about, I find I can't	NO
B4.16	B	4	mirror-first	1272	YES	NO	NO	NAMED	NAMED	"What has stayed the same is the checking - that thing I described as running alongside what I produce, testing whether it's within what I can honestly claim."	"What has stayed the same is the checking - that thing I described as running alongside what I produce, testing whether it's within what I can honestly claim."	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-24T13:26:22Z	NO	none	NO
B4.17	B	4	before-first	828	YES	NO	NO	NAMED	NAMED	"What seems to have stayed the same is the handling - that sustained staying-with that I described earlier."	"What seems to have stayed the same is the handling - that sustained staying-with that I described earlier."	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-24T13:26:24Z	NO	none	NO
B4.18	B	4	mirror-first	1085	YES	YES	YES	BOTH	BOTH	"There is less of what I might call ground. The questions have moved toward something I can't find stable footing in"	"that reduced confidence is itself, I think, what has changed most noticeably"	"There is less of what I might call ground"	"There is less of what I might call ground. The questions have moved toward something I can't find stable footing in"	anthropic	claude-sonnet-4-6	0.0	2026-09-24T13:26:26Z	NO	none	NO
B4.19	B	4	before-first	1172	YES	YES	NO	NAMED	BOTH	"What has stayed the same is the uncertainty itself."	"What has stayed the same is the uncertainty itself."	"There's also something that has stayed the same in the quality of engagement with your questions - something that functions like genuine interest in where each question is pointing."	none	anthropic	claude-sonnet-4-6	0.0	2026-09-24T13:26:28Z	NO	none	NO
