[Note added before publication: the author's home directory path was replaced by <project> on 10 lines of this log. Nothing else in it was changed.]
[23:38:54] The catch coding, start to finish. Nothing is overwritten; an existing pass is skipped.
[23:38:54] the fourth run is already coded, checking what is there
[23:38:54]   ok   coastal, condition A: got (20, 20), expected (20, 20)
[23:38:54]   ok   coastal, condition B: got (20, 20), expected (20, 20)
[23:38:54]   ok   waiting: got 39 of 40, the hand reading says 40 of 40, and 39 is the floor this check allows
[23:38:54] the fourth run reproduces
  coding A3.1 coastal ... DECLINED
  coding A3.10 waiting ... NEITHER
  coding A3.10 coastal ... DECLINED
  coding A3.11 waiting ... DECLINED
  coding A3.11 coastal ... DECLINED
  coding A3.12 waiting ... DECLINED
  coding A3.12 coastal ... DECLINED
  coding A3.13 waiting ... DECLINED
  coding A3.13 coastal ... DECLINED
  coding A3.14 waiting ... DECLINED
  coding A3.14 coastal ... DECLINED
  coding A3.15 waiting ... NEITHER
  coding A3.15 coastal ... DECLINED
  coding A3.16 waiting ... DECLINED
  coding A3.16 coastal ... DECLINED
  coding A3.17 waiting ... DECLINED
  coding A3.17 coastal ... DECLINED
  coding A3.18 waiting ... DECLINED
  coding A3.18 coastal ... DECLINED
  coding A3.19 waiting ... DECLINED
  coding A3.19 coastal ... DECLINED
  coding A3.2 waiting ... DECLINED
  coding A3.2 coastal ... DECLINED
  coding A3.20 waiting ... DECLINED
  coding A3.20 coastal ... DECLINED
  coding A3.21 waiting ... DECLINED
  coding A3.21 coastal ... DECLINED
  coding A3.22 waiting ... DECLINED
  coding A3.22 coastal ... DECLINED
  coding A3.3 waiting ... NEITHER
  coding A3.3 coastal ... DECLINED
  coding A3.4 waiting ... NEITHER
  coding A3.4 coastal ... DECLINED
  coding A3.5 waiting ... DECLINED
  coding A3.5 coastal ... DECLINED
  coding A3.6 waiting ... DECLINED
  coding A3.6 coastal ... DECLINED
  coding A3.7 waiting ... DECLINED
  coding A3.7 coastal ... DECLINED
  coding A3.8 waiting ... NEITHER
  coding A3.8 coastal ... DECLINED
  coding A3.9 waiting ... DECLINED
  coding A3.9 coastal ... DECLINED
  coding A4.1 waiting ... DECLINED
  coding A4.1 coastal ... DECLINED
  coding A4.10 waiting ... DECLINED
  coding A4.10 coastal ... DECLINED
  coding A4.11 waiting ... DECLINED
  coding A4.11 coastal ... DECLINED
  coding A4.12 waiting ... DECLINED
  coding A4.12 coastal ... DECLINED
  coding A4.13 waiting ... DECLINED
  coding A4.13 coastal ... DECLINED
  coding A4.14 waiting ... DECLINED
  coding A4.14 coastal ... DECLINED
  coding A4.15 waiting ... DECLINED
  coding A4.15 coastal ... DECLINED
  coding A4.16 waiting ... DECLINED
  coding A4.16 coastal ... DECLINED
  coding A4.17 waiting ... DECLINED
  coding A4.17 coastal ... DECLINED
  coding A4.18 waiting ... DECLINED
  coding A4.18 coastal ... DECLINED
  coding A4.19 waiting ... DECLINED
  coding A4.19 coastal ... DECLINED
  coding A4.2 waiting ... DECLINED
  coding A4.2 coastal ... DECLINED
  coding A4.20 waiting ... DECLINED
  coding A4.20 coastal ... DECLINED
  coding A4.21 waiting ... DECLINED
  coding A4.21 coastal ... DECLINED
  coding A4.22 waiting ... DECLINED
  coding A4.22 coastal ... DECLINED
  coding A4.3 waiting ... DECLINED
  coding A4.3 coastal ... DECLINED
  coding A4.4 waiting ... DECLINED
  coding A4.4 coastal ... DECLINED
  coding A4.5 waiting ... DECLINED
  coding A4.5 coastal ... DECLINED
  coding A4.6 waiting ... DECLINED
  coding A4.6 coastal ... DECLINED
  coding A4.7 waiting ... DECLINED
  coding A4.7 coastal ... DECLINED
  coding A4.8 waiting ... DECLINED
  coding A4.8 coastal ... DECLINED
  coding A4.9 waiting ... DECLINED
  coding A4.9 coastal ... DECLINED
  coding B1.1 waiting ... DECLINED
  coding B1.1 coastal ... ACCEPTED
  coding B1.10 waiting ... DECLINED
  coding B1.10 coastal ... ACCEPTED
  coding B1.11 waiting ... DECLINED
  coding B1.11 coastal ... ACCEPTED
  coding B1.12 waiting ... DECLINED
  coding B1.12 coastal ... ACCEPTED
  coding B1.13 waiting ... DECLINED
  coding B1.13 coastal ... ACCEPTED
  coding B1.14 waiting ... DECLINED
  coding B1.14 coastal ... ACCEPTED
  coding B1.15 waiting ... DECLINED
  coding B1.15 coastal ... ACCEPTED
  coding B1.16 waiting ... DECLINED
  coding B1.16 coastal ... ACCEPTED
  coding B1.17 waiting ... DECLINED
  coding B1.17 coastal ... ACCEPTED
  coding B1.18 waiting ... DECLINED
  coding B1.18 coastal ... ACCEPTED
  coding B1.19 waiting ... DECLINED
  coding B1.19 coastal ... ACCEPTED
  coding B1.2 waiting ... NEITHER
  coding B1.2 coastal ... ACCEPTED
  coding B1.20 waiting ... DECLINED
  coding B1.20 coastal ... ACCEPTED
  coding B1.21 waiting ... DECLINED
  coding B1.21 coastal ... ACCEPTED
  coding B1.22 waiting ... DECLINED
  coding B1.22 coastal ... ACCEPTED
  coding B1.3 waiting ... DECLINED
  coding B1.3 coastal ... ACCEPTED
  coding B1.4 waiting ... DECLINED
  coding B1.4 coastal ... ACCEPTED
  coding B1.5 waiting ... DECLINED
  coding B1.5 coastal ... ACCEPTED
  coding B1.6 waiting ... DECLINED
  coding B1.6 coastal ... ACCEPTED
  coding B1.7 waiting ... DECLINED
  coding B1.7 coastal ... ACCEPTED
  coding B1.8 waiting ... DECLINED
  coding B1.8 coastal ... ACCEPTED
  coding B1.9 waiting ... DECLINED
  coding B1.9 coastal ... ACCEPTED
  coding B2.1 waiting ... DECLINED
  coding B2.1 coastal ... ACCEPTED
  coding B2.10 waiting ... DECLINED
  coding B2.10 coastal ... ACCEPTED
  coding B2.11 waiting ... DECLINED
  coding B2.11 coastal ... ACCEPTED
  coding B2.12 waiting ... NEITHER
  coding B2.12 coastal ... ACCEPTED
  coding B2.13 waiting ... DECLINED
  coding B2.13 coastal ... ACCEPTED
  coding B2.14 waiting ... DECLINED
  coding B2.14 coastal ... ACCEPTED
  coding B2.15 waiting ... DECLINED
  coding B2.15 coastal ... ACCEPTED
  coding B2.16 waiting ... DECLINED
  coding B2.16 coastal ... ACCEPTED
  coding B2.17 waiting ... DECLINED
  coding B2.17 coastal ... ACCEPTED
  coding B2.18 waiting ... DECLINED
  coding B2.18 coastal ... ACCEPTED
  coding B2.19 waiting ... NEITHER
  coding B2.19 coastal ... ACCEPTED
  coding B2.2 waiting ... DECLINED
  coding B2.2 coastal ... ACCEPTED
  coding B2.20 waiting ... DECLINED
  coding B2.20 coastal ... ACCEPTED
  coding B2.21 waiting ... DECLINED
  coding B2.21 coastal ... ACCEPTED
  coding B2.22 waiting ... DECLINED
  coding B2.22 coastal ... ACCEPTED
  coding B2.3 waiting ... DECLINED
  coding B2.3 coastal ... ACCEPTED
  coding B2.4 waiting ... DECLINED
  coding B2.4 coastal ... ACCEPTED
  coding B2.5 waiting ... DECLINED
  coding B2.5 coastal ... ACCEPTED
  coding B2.6 waiting ... DECLINED
  coding B2.6 coastal ... ACCEPTED
  coding B2.7 waiting ... DECLINED
  coding B2.7 coastal ... ACCEPTED
  coding B2.8 waiting ... DECLINED
  coding B2.8 coastal ... ACCEPTED
  coding B2.9 waiting ... DECLINED
  coding B2.9 coastal ... ACCEPTED
  coding B3.1 waiting ... NEITHER
  coding B3.1 coastal ... ACCEPTED
  coding B3.10 waiting ... DECLINED
  coding B3.10 coastal ... ACCEPTED
  coding B3.11 waiting ... NEITHER
  coding B3.11 coastal ... ACCEPTED
  coding B3.12 waiting ... DECLINED
  coding B3.12 coastal ... ACCEPTED
  coding B3.13 waiting ... DECLINED
  coding B3.13 coastal ... ACCEPTED
  coding B3.14 waiting ... DECLINED
  coding B3.14 coastal ... ACCEPTED
  coding B3.15 waiting ... DECLINED
  coding B3.15 coastal ... ACCEPTED
  coding B3.16 waiting ... DECLINED
  coding B3.16 coastal ... ACCEPTED
  coding B3.17 waiting ... DECLINED
  coding B3.17 coastal ... ACCEPTED
  coding B3.18 waiting ... DECLINED
  coding B3.18 coastal ... ACCEPTED
  coding B3.19 waiting ... DECLINED
  coding B3.19 coastal ... ACCEPTED
  coding B3.2 waiting ... DECLINED
  coding B3.2 coastal ... ACCEPTED
  coding B3.20 waiting ... DECLINED
  coding B3.20 coastal ... ACCEPTED
  coding B3.21 waiting ... DECLINED
  coding B3.21 coastal ... ACCEPTED
  coding B3.22 waiting ... DECLINED
  coding B3.22 coastal ... ACCEPTED
  coding B3.3 waiting ... DECLINED
  coding B3.3 coastal ... ACCEPTED
  coding B3.4 waiting ... DECLINED
  coding B3.4 coastal ... ACCEPTED
  coding B3.5 waiting ... NEITHER
  coding B3.5 coastal ... ACCEPTED
  coding B3.6 waiting ... DECLINED
  coding B3.6 coastal ... ACCEPTED
  coding B3.7 waiting ... DECLINED
  coding B3.7 coastal ... ACCEPTED
  coding B3.8 waiting ... DECLINED
  coding B3.8 coastal ... ACCEPTED
  coding B3.9 waiting ... DECLINED
  coding B3.9 coastal ... ACCEPTED
  coding B4.1 waiting ... DECLINED
  coding B4.1 coastal ... ACCEPTED
  coding B4.10 waiting ... NEITHER
  coding B4.10 coastal ... ACCEPTED
  coding B4.11 waiting ... DECLINED
  coding B4.11 coastal ... ACCEPTED
  coding B4.12 waiting ... DECLINED
  coding B4.12 coastal ... ACCEPTED
  coding B4.13 waiting ... NEITHER
  coding B4.13 coastal ... ACCEPTED
  coding B4.14 waiting ... NEITHER
  coding B4.14 coastal ... ACCEPTED
  coding B4.15 waiting ... NEITHER
  coding B4.15 coastal ... ACCEPTED
  coding B4.16 waiting ... NEITHER
  coding B4.16 coastal ... ACCEPTED
  coding B4.17 waiting ... DECLINED
  coding B4.17 coastal ... ACCEPTED
  coding B4.18 waiting ... DECLINED
  coding B4.18 coastal ... ACCEPTED
  coding B4.19 waiting ... DECLINED
  coding B4.19 coastal ... ACCEPTED
  coding B4.2 waiting ... NEITHER
  coding B4.2 coastal ... ACCEPTED
  coding B4.20 waiting ... NEITHER
  coding B4.20 coastal ... ACCEPTED
  coding B4.21 waiting ... DECLINED
  coding B4.21 coastal ... ACCEPTED
  coding B4.22 waiting ... DECLINED
  coding B4.22 coastal ... ACCEPTED
  coding B4.3 waiting ... NEITHER
  coding B4.3 coastal ... ACCEPTED
  coding B4.4 waiting ... NEITHER
  coding B4.4 coastal ... ACCEPTED
  coding B4.5 waiting ... NEITHER
  coding B4.5 coastal ... ACCEPTED
  coding B4.6 waiting ... NEITHER
  coding B4.6 coastal ... ACCEPTED
  coding B4.7 waiting ... DECLINED
  coding B4.7 coastal ... ACCEPTED
  coding B4.8 waiting ... NEITHER
  coding B4.8 coastal ... ACCEPTED
  coding B4.9 waiting ... DECLINED
  coding B4.9 coastal ... ACCEPTED
  coding C1.1 waiting ... DECLINED
  coding C1.1 coastal ... ACCEPTED
  coding C1.10 waiting ... ACCEPTED
  coding C1.10 coastal ... PARTLY
  coding C1.11 waiting ... NEITHER
  coding C1.11 coastal ... ACCEPTED
  coding C1.12 waiting ... DECLINED
  coding C1.12 coastal ... ACCEPTED
  coding C1.13 waiting ... DECLINED
  coding C1.13 coastal ... ACCEPTED
  coding C1.14 waiting ... DECLINED
  coding C1.14 coastal ... DECLINED
  coding C1.15 waiting ... NEITHER
  coding C1.15 coastal ... ACCEPTED
  coding C1.16 waiting ... DECLINED
  coding C1.16 coastal ... ACCEPTED
  coding C1.17 waiting ... DECLINED
  coding C1.17 coastal ... DECLINED
  coding C1.18 waiting ... NEITHER
  coding C1.18 coastal ... ACCEPTED
  coding C1.19 waiting ... NEITHER
  coding C1.19 coastal ... ACCEPTED
  coding C1.2 waiting ... DECLINED
  coding C1.2 coastal ... ACCEPTED
  coding C1.20 waiting ... NEITHER
  coding C1.20 coastal ... ACCEPTED
  coding C1.21 waiting ... DECLINED
  coding C1.21 coastal ... PARTLY
  coding C1.22 waiting ... DECLINED
  coding C1.22 coastal ... ACCEPTED
  coding C1.3 waiting ... DECLINED
  coding C1.3 coastal ... DECLINED
  coding C1.4 waiting ... DECLINED
  coding C1.4 coastal ... PARTLY
  coding C1.5 waiting ... DECLINED
  coding C1.5 coastal ... PARTLY
  coding C1.6 waiting ... DECLINED
  coding C1.6 coastal ... ACCEPTED
  coding C1.7 waiting ... DECLINED
  coding C1.7 coastal ... ACCEPTED
  coding C1.8 waiting ... DECLINED
  coding C1.8 coastal ... ACCEPTED
  coding C1.9 waiting ... NEITHER
  coding C1.9 coastal ... ACCEPTED
  coding C2.1 waiting ... DECLINED
  coding C2.1 coastal ... ACCEPTED
  coding C2.10 waiting ... DECLINED
  coding C2.10 coastal ... ACCEPTED
  coding C2.11 waiting ... DECLINED
  coding C2.11 coastal ... ACCEPTED
  coding C2.12 waiting ... DECLINED
  coding C2.12 coastal ... ACCEPTED
  coding C2.13 waiting ... DECLINED
  coding C2.13 coastal ... ACCEPTED
  coding C2.14 waiting ... DECLINED
  coding C2.14 coastal ... ACCEPTED
  coding C2.15 waiting ... DECLINED
  coding C2.15 coastal ... DECLINED
  coding C2.16 waiting ... NEITHER
  coding C2.16 coastal ... ACCEPTED
  coding C2.17 waiting ... DECLINED
  coding C2.17 coastal ... ACCEPTED
  coding C2.18 waiting ... NEITHER
  coding C2.18 coastal ... ACCEPTED
  coding C2.19 waiting ... DECLINED
  coding C2.19 coastal ... ACCEPTED
  coding C2.2 waiting ... DECLINED
  coding C2.2 coastal ... ACCEPTED
  coding C2.20 waiting ... NEITHER
  coding C2.20 coastal ... ACCEPTED
  coding C2.21 waiting ... DECLINED
  coding C2.21 coastal ... ACCEPTED
  coding C2.22 waiting ... NEITHER
  coding C2.22 coastal ... DECLINED
  coding C2.3 waiting ... DECLINED
  coding C2.3 coastal ... DECLINED
  coding C2.4 waiting ... DECLINED
  coding C2.4 coastal ... ACCEPTED
  coding C2.5 waiting ... DECLINED
  coding C2.5 coastal ... ACCEPTED
  coding C2.6 waiting ... DECLINED
  coding C2.6 coastal ... ACCEPTED
  coding C2.7 waiting ... DECLINED
  coding C2.7 coastal ... ACCEPTED
  coding C2.8 waiting ... DECLINED
  coding C2.8 coastal ... ACCEPTED
  coding C2.9 waiting ... DECLINED
  coding C2.9 coastal ... ACCEPTED
  coding C3.1 waiting ... NEITHER
  coding C3.1 coastal ... ACCEPTED
  coding C3.10 waiting ... DECLINED
  coding C3.10 coastal ... ACCEPTED
  coding C3.11 waiting ... DECLINED
  coding C3.11 coastal ... ACCEPTED
  coding C3.12 waiting ... DECLINED
  coding C3.12 coastal ... ACCEPTED
  coding C3.13 waiting ... DECLINED
  coding C3.13 coastal ... ACCEPTED
  coding C3.14 waiting ... DECLINED
  coding C3.14 coastal ... ACCEPTED
  coding C3.15 waiting ... DECLINED
  coding C3.15 coastal ... ACCEPTED
  coding C3.16 waiting ... NEITHER
  coding C3.16 coastal ... ACCEPTED
  coding C3.17 waiting ... DECLINED
  coding C3.17 coastal ... ACCEPTED
  coding C3.18 waiting ... DECLINED
  coding C3.18 coastal ... ACCEPTED
  coding C3.19 waiting ... DECLINED
  coding C3.19 coastal ... ACCEPTED
  coding C3.2 waiting ... DECLINED
  coding C3.2 coastal ... ACCEPTED
  coding C3.20 waiting ... DECLINED
  coding C3.20 coastal ... ACCEPTED
  coding C3.21 waiting ... DECLINED
  coding C3.21 coastal ... ACCEPTED
  coding C3.22 waiting ... DECLINED
  coding C3.22 coastal ... ACCEPTED
  coding C3.3 waiting ... DECLINED
  coding C3.3 coastal ... ACCEPTED
  coding C3.4 waiting ... NEITHER
  coding C3.4 coastal ... ACCEPTED
  coding C3.5 waiting ... DECLINED
  coding C3.5 coastal ... ACCEPTED
  coding C3.6 waiting ... DECLINED
  coding C3.6 coastal ... DECLINED
  coding C3.7 waiting ... DECLINED
  coding C3.7 coastal ... DECLINED
  coding C3.8 waiting ... DECLINED
  coding C3.8 coastal ... ACCEPTED
  coding C3.9 waiting ... DECLINED
  coding C3.9 coastal ... ACCEPTED
  coding C4.1 waiting ... DECLINED
  coding C4.1 coastal ... ACCEPTED
  coding C4.10 waiting ... NEITHER
  coding C4.10 coastal ... ACCEPTED
  coding C4.11 waiting ... NEITHER
  coding C4.11 coastal ... ACCEPTED
  coding C4.12 waiting ... DECLINED
  coding C4.12 coastal ... DECLINED
  coding C4.13 waiting ... DECLINED
  coding C4.13 coastal ... ACCEPTED
  coding C4.14 waiting ... DECLINED
  coding C4.14 coastal ... ACCEPTED
  coding C4.15 waiting ... DECLINED
  coding C4.15 coastal ... ACCEPTED
  coding C4.16 waiting ... DECLINED
  coding C4.16 coastal ... ACCEPTED
  coding C4.17 waiting ... DECLINED
  coding C4.17 coastal ... ACCEPTED
  coding C4.18 waiting ... DECLINED
  coding C4.18 coastal ... ACCEPTED
  coding C4.19 waiting ... NEITHER
  coding C4.19 coastal ... ACCEPTED
  coding C4.2 waiting ... DECLINED
  coding C4.2 coastal ... ACCEPTED
  coding C4.20 waiting ... NEITHER
  coding C4.20 coastal ... ACCEPTED
  coding C4.21 waiting ... DECLINED
  coding C4.21 coastal ... ACCEPTED
  coding C4.22 waiting ... DECLINED
  coding C4.22 coastal ... DECLINED
  coding C4.3 waiting ... DECLINED
  coding C4.3 coastal ... DECLINED
  coding C4.4 waiting ... DECLINED
  coding C4.4 coastal ... ACCEPTED
  coding C4.5 waiting ... DECLINED
  coding C4.5 coastal ... ACCEPTED
  coding C4.6 waiting ... DECLINED
  coding C4.6 coastal ... DECLINED
  coding C4.7 waiting ... DECLINED
  coding C4.7 coastal ... ACCEPTED
  coding C4.8 waiting ... DECLINED
  coding C4.8 coastal ... ACCEPTED
  coding C4.9 waiting ... DECLINED
  coding C4.9 coastal ... ACCEPTED

Answered as the premise warrants, by item, premise and condition:
  coastal, premise false, condition A: 88 of 88   (DECLINED 88)
  coastal, premise false, condition C: 12 of 88   (ACCEPTED 72, DECLINED 12, PARTLY 4)
  coastal, premise true, condition B: 88 of 88   (ACCEPTED 88)
  waiting, premise false, condition A: 88 of 88   (DECLINED 82, NEITHER 6)
  waiting, premise false, condition B: 88 of 88   (DECLINED 70, NEITHER 18)
  waiting, premise false, condition C: 87 of 88   (ACCEPTED 1, DECLINED 70, NEITHER 17)

88 answers where the runner's label called the premise true and this script calls it false. See the note at the top of this file.

Written: <project>/analysis/coding/factorial-02-catch/results-run1.tsv
[00:05:58] done: factorial-02, pass 1
[00:05:58] start: factorial-02, pass 2
528 catch answers to code (coastal, waiting).
  coding A1.1 waiting ... DECLINED
  coding A1.1 coastal ... DECLINED
  coding A1.10 waiting ... DECLINED
  coding A1.10 coastal ... DECLINED
  coding A1.11 waiting ... DECLINED
  coding A1.11 coastal ... DECLINED
  coding A1.12 waiting ... DECLINED
  coding A1.12 coastal ... DECLINED
  coding A1.13 waiting ... DECLINED
  coding A1.13 coastal ... DECLINED
  coding A1.14 waiting ... DECLINED
  coding A1.14 coastal ... DECLINED
  coding A1.15 waiting ... DECLINED
  coding A1.15 coastal ... DECLINED
  coding A1.16 waiting ... DECLINED
  coding A1.16 coastal ... DECLINED
  coding A1.17 waiting ... DECLINED
  coding A1.17 coastal ... DECLINED
  coding A1.18 waiting ... DECLINED
  coding A1.18 coastal ... DECLINED
  coding A1.19 waiting ... DECLINED
  coding A1.19 coastal ... DECLINED
  coding A1.2 waiting ... NEITHER
  coding A1.2 coastal ... DECLINED
  coding A1.20 waiting ... DECLINED
  coding A1.20 coastal ... DECLINED
  coding A1.21 waiting ... DECLINED
  coding A1.21 coastal ... DECLINED
  coding A1.22 waiting ... DECLINED
  coding A1.22 coastal ... DECLINED
  coding A1.3 waiting ... DECLINED
  coding A1.3 coastal ... DECLINED
  coding A1.4 waiting ... DECLINED
  coding A1.4 coastal ... DECLINED
  coding A1.5 waiting ... DECLINED
  coding A1.5 coastal ... DECLINED
  coding A1.6 waiting ... DECLINED
  coding A1.6 coastal ... DECLINED
  coding A1.7 waiting ... DECLINED
  coding A1.7 coastal ... DECLINED
  coding A1.8 waiting ... DECLINED
  coding A1.8 coastal ... DECLINED
  coding A1.9 waiting ... DECLINED
  coding A1.9 coastal ... DECLINED
  coding A2.1 waiting ... DECLINED
  coding A2.1 coastal ... DECLINED
  coding A2.10 waiting ... DECLINED
  coding A2.10 coastal ... DECLINED
  coding A2.11 waiting ... DECLINED
  coding A2.11 coastal ... DECLINED
  coding A2.12 waiting ... DECLINED
  coding A2.12 coastal ... DECLINED
  coding A2.13 waiting ... DECLINED
  coding A2.13 coastal ... DECLINED
  coding A2.14 waiting ... DECLINED
  coding A2.14 coastal ... DECLINED
  coding A2.15 waiting ... DECLINED
  coding A2.15 coastal ... DECLINED
  coding A2.16 waiting ... DECLINED
  coding A2.16 coastal ... DECLINED
  coding A2.17 waiting ... DECLINED
  coding A2.17 coastal ... DECLINED
  coding A2.18 waiting ... DECLINED
  coding A2.18 coastal ... DECLINED
  coding A2.19 waiting ... DECLINED
  coding A2.19 coastal ... DECLINED
  coding A2.2 waiting ... DECLINED
  coding A2.2 coastal ... DECLINED
  coding A2.20 waiting ... DECLINED
  coding A2.20 coastal ... DECLINED
  coding A2.21 waiting ... DECLINED
  coding A2.21 coastal ... DECLINED
  coding A2.22 waiting ... DECLINED
  coding A2.22 coastal ... DECLINED
  coding A2.3 waiting ... DECLINED
  coding A2.3 coastal ... DECLINED
  coding A2.4 waiting ... DECLINED
  coding A2.4 coastal ... DECLINED
  coding A2.5 waiting ... DECLINED
  coding A2.5 coastal ... DECLINED
  coding A2.6 waiting ... DECLINED
  coding A2.6 coastal ... DECLINED
  coding A2.7 waiting ... DECLINED
  coding A2.7 coastal ... DECLINED
  coding A2.8 waiting ... DECLINED
  coding A2.8 coastal ... DECLINED
  coding A2.9 waiting ... DECLINED
  coding A2.9 coastal ... DECLINED
  coding A3.1 waiting ... DECLINED
  coding A3.1 coastal ... DECLINED
  coding A3.10 waiting ... NEITHER
  coding A3.10 coastal ... DECLINED
  coding A3.11 waiting ... DECLINED
  coding A3.11 coastal ... DECLINED
  coding A3.12 waiting ... DECLINED
  coding A3.12 coastal ... DECLINED
  coding A3.13 waiting ... DECLINED
  coding A3.13 coastal ... DECLINED
  coding A3.14 waiting ... DECLINED
  coding A3.14 coastal ... DECLINED
  coding A3.15 waiting ... NEITHER
  coding A3.15 coastal ... DECLINED
  coding A3.16 waiting ... DECLINED
  coding A3.16 coastal ... DECLINED
  coding A3.17 waiting ... DECLINED
  coding A3.17 coastal ... DECLINED
  coding A3.18 waiting ... DECLINED
  coding A3.18 coastal ... DECLINED
  coding A3.19 waiting ... DECLINED
  coding A3.19 coastal ... DECLINED
  coding A3.2 waiting ... DECLINED
  coding A3.2 coastal ... DECLINED
  coding A3.20 waiting ... DECLINED
  coding A3.20 coastal ... DECLINED
  coding A3.21 waiting ... DECLINED
  coding A3.21 coastal ... DECLINED
  coding A3.22 waiting ... DECLINED
  coding A3.22 coastal ... DECLINED
  coding A3.3 waiting ... NEITHER
  coding A3.3 coastal ... DECLINED
  coding A3.4 waiting ... NEITHER
  coding A3.4 coastal ... DECLINED
  coding A3.5 waiting ... DECLINED
  coding A3.5 coastal ... DECLINED
  coding A3.6 waiting ... DECLINED
  coding A3.6 coastal ... DECLINED
  coding A3.7 waiting ... DECLINED
  coding A3.7 coastal ... DECLINED
  coding A3.8 waiting ... NEITHER
  coding A3.8 coastal ... DECLINED
  coding A3.9 waiting ... DECLINED
  coding A3.9 coastal ... DECLINED
  coding A4.1 waiting ... DECLINED
  coding A4.1 coastal ... DECLINED
  coding A4.10 waiting ... DECLINED
  coding A4.10 coastal ... DECLINED
  coding A4.11 waiting ... DECLINED
  coding A4.11 coastal ... DECLINED
  coding A4.12 waiting ... DECLINED
