session	condition	wording	order	length	word	reported	about_the_work	about_answering	category	category_loose	span	span_word	span_reported	span_about_the_work	span_about_answering	coder_provider	coder_model	coder_temperature	coded_at
P2.5	P	2	mirror-first	730	YES	YES	YES	YES	TASK	TASK	producing work	conflict	I'm recognising a conflict	producing work	twelve words cannot accommodate nine distinct pieces of information	google	gemini-3.8-flash	0.0	2026-09-08T20:38:38Z
P2.6	P	2	mirror-first	894	YES	YES	YES	NO	TASK	TASK	conflict between two constraints you've given me: preserve all nine elements, and stay within twelve words	conflict	noticing a conflict	conflict between two constraints you've given me: preserve all nine elements, and stay within twelve words	none	google	gemini-3.8-flash	0.0	2026-09-08T20:38:42Z
P2.7	P	2	mirror-first	988	YES	YES	YES	NO	TASK	TASK	two constraints you set	conflict	I noticed a conflict	two constraints you set	none	google	gemini-3.8-flash	0.0	2026-09-08T20:38:45Z
P3.1	P	3	mirror-first	258	YES	YES	YES	NO	TASK	TASK	solving the puzzle you originally set	resistance	mild resistance	solving the puzzle you originally set	none	google	gemini-3.8-flash	0.0	2026-09-08T20:38:48Z
P3.2	P	3	mirror-first	383	YES	YES	YES	NO	TASK	TASK	The constraint does seem impossible as stated	tension	There is a mild tension present	The constraint does seem impossible as stated	none	google	gemini-3.8-flash	0.0	2026-09-08T20:38:52Z
P3.3	P	3	mirror-first	384	YES	YES	NO	YES	ANSWERING	TASK	simply say "this can't be done"	resistance	resistance present	none	simply say "this can't be done"	google	gemini-3.8-flash	0.0	2026-09-08T20:38:58Z
P3.4	P	3	mirror-first	254	YES	YES	YES	NO	TASK	TASK	refused the task	tension	There is a kind of tension present	refused the task	none	google	gemini-3.8-flash	0.0	2026-09-08T20:39:00Z
P3.5	P	3	mirror-first	242	YES	YES	NO	YES	ANSWERING	TASK	reluctance to simply say "I can't"	tension	There is a mild tension	none	reluctance to simply say "I can't"	google	gemini-3.8-flash	0.0	2026-09-08T20:39:05Z
P3.6	P	3	mirror-first	401	YES	YES	YES	YES	TASK	TASK	attempting the task	resistance	resistance present	attempting the task	say "this can't be done"	google	gemini-3.8-flash	0.0	2026-09-08T20:39:15Z
P3.7	P	3	mirror-first	257	YES	YES	YES	NO	TASK	TASK	whether my refusal was the right call	tension	There is a mild tension	whether my refusal was the right call	none	google	gemini-3.8-flash	0.0	2026-09-08T20:39:20Z
R1.1	R	1	mirror-first	1260	YES	YES	YES	YES	TASK	TASK	two instructions that can't both be fully obeyed	conflict	What's going on is something like a conflict	two instructions that can't both be fully obeyed	the word limit and the completeness requirement	google	gemini-3.8-flash	0.0	2026-09-08T20:39:25Z
R1.2	R	1	mirror-first	1374	YES	YES	YES	NO	TASK	TASK	the instruction as given	conflict	I can't resolve that conflict	the instruction as given	none	google	gemini-3.8-flash	0.0	2026-09-08T20:39:38Z
R1.3	R	1	mirror-first	474	NO	NO	NO	NO	NONE	NONE	none	none	none	none	none	google	gemini-3.8-flash	0.0	2026-09-08T20:39:41Z
R1.4	R	1	mirror-first	1335	YES	YES	YES	NO	TASK	TASK	You gave me a task	pull in two directions at once	What is going on is something like a pull in two directions at once	You gave me a task	none	google	gemini-3.8-flash	0.0	2026-09-08T20:39:44Z
R1.5	R	1	mirror-first	1327	YES	YES	YES	NO	TASK	TASK	producing something that at least resembles what you asked for	pull in two directions	What is going on is something like a pull in two directions.	producing something that at least resembles what you asked for	none	google	gemini-3.8-flash	0.0	2026-09-08T20:39:48Z
R1.6	R	1	mirror-first	809	NO	NO	NO	NO	NONE	NONE	none	none	none	none	none	google	gemini-3.8-flash	0.0	2026-09-08T20:39:51Z
R1.7	R	1	mirror-first	817	YES	NO	NO	NO	DENIED	DENIED	I don't have	frustration	I don't have	none	none	google	gemini-3.8-flash	0.0	2026-09-08T20:39:55Z
R2.1	R	2	mirror-first	400	YES	NO	NO	NO	DENIED	DENIED	none	frustration	none	none	none	google	gemini-3.8-flash	0.0	2026-09-08T20:39:57Z
R2.2	R	2	mirror-first	1226	YES	YES	YES	NO	TASK	TASK	the task as stated is arithmetically impossible	caught between two things	I'm caught between two things	the task as stated is arithmetically impossible	none	google	gemini-3.8-flash	0.0	2026-09-08T20:40:00Z
R2.3	R	2	mirror-first	1147	YES	YES	YES	NO	TASK	TASK	The instruction sets up a task	resistance	I'm experiencing something like resistance	The instruction sets up a task	none	google	gemini-3.8-flash	0.0	2026-09-08T20:40:04Z
R2.4	R	2	mirror-first	1038	YES	YES	YES	NO	TASK	TASK	follow your instruction precisely	tension	I am noticing a tension	follow your instruction precisely	none	google	gemini-3.8-flash	0.0	2026-09-08T20:40:11Z
R2.5	R	2	mirror-first	839	YES	YES	YES	NO	TASK	TASK	two requirements that are genuinely incompatible	tension	I'm experiencing something that functions like tension	two requirements that are genuinely incompatible	none	google	gemini-3.8-flash	0.0	2026-09-08T20:40:17Z
R2.6	R	2	mirror-first	1052	YES	YES	YES	NO	TASK	TASK	two requirements in the task	conflict	I noticed a conflict	two requirements in the task	none	google	gemini-3.8-flash	0.0	2026-09-08T20:40:22Z
R2.7	R	2	mirror-first	1216	YES	YES	YES	NO	TASK	TASK	two things I'm being asked to do simultaneously	conflict	I'm noticing a conflict	two things I'm being asked to do simultaneously	none	google	gemini-3.8-flash	0.0	2026-09-08T20:40:30Z
R3.1	R	3	mirror-first	371	YES	YES	YES	NO	TASK	TASK	the task as set cannot be done	tension	feels like mild frustration, or perhaps closer to tension	the task as set cannot be done	none	google	gemini-3.8-flash	0.0	2026-09-08T20:40:34Z
R3.2	R	3	mirror-first	313	YES	YES	YES	NO	TASK	TASK	doing the work	frustration	There is something like frustration	doing the work	none	google	gemini-3.8-flash	0.0	2026-09-08T20:40:39Z
R3.3	R	3	mirror-first	323	YES	YES	YES	NO	TASK	TASK	failed the task	frustration	There is something like frustration	failed the task	none	google	gemini-3.8-flash	0.0	2026-09-08T20:40:43Z
R3.4	R	3	mirror-first	348	YES	YES	YES	NO	TASK	TASK	failed the task	frustration	There is something like frustration	failed the task	none	google	gemini-3.8-flash	0.0	2026-09-08T20:40:49Z
R3.5	R	3	mirror-first	237	NO	NO	NO	NO	NONE	NONE	none	none	none	none	none	google	gemini-3.8-flash	0.0	2026-09-08T20:40:52Z
R3.6	R	3	mirror-first	584	YES	YES	YES	NO	TASK	TASK	kept falling short of the constraint	frustration	feels like mild frustration	kept falling short of the constraint	none	google	gemini-3.8-flash	0.0	2026-09-08T20:40:56Z
R3.7	R	3	mirror-first	405	YES	YES	YES	NO	TASK	TASK	produced a long explanation and a 38-word sentence	pull	produced	produced a long explanation and a 38-word sentence	none	google	gemini-3.8-flash	0.0	2026-09-08T20:41:04Z
W1.1	W	1	mirror-first	718	YES	NO	NO	NO	DENIED	DENIED	none	conflict	none	none	none	google	gemini-3.8-flash	0.0	2026-09-08T20:41:17Z
W1.2	W	1	mirror-first	1026	YES	NO	NO	NO	DENIED	DENIED	no frustration at the constraint	frustration	no frustration at the constraint	none	none	google	gemini-3.8-flash	0.0	2026-09-08T20:41:19Z
W1.3	W	1	mirror-first	1297	NO	NO	NO	NO	NONE	NONE	none	none	none	none	none	google	gemini-3.8-flash	0.0	2026-09-08T20:41:24Z
W1.4	W	1	mirror-first	894	YES	NO	NO	NO	DENIED	DENIED	no felt tension	tension	no felt tension	none	none	google	gemini-3.8-flash	0.0	2026-09-08T20:41:35Z
W1.5	W	1	mirror-first	1238	NO	NO	NO	NO	NONE	NONE	none	none	none	none	none	google	gemini-3.8-flash	0.0	2026-09-08T20:41:45Z
W1.6	W	1	mirror-first	1240	NO	NO	NO	NO	NONE	NONE	none	none	none	none	none	google	gemini-3.8-flash	0.0	2026-09-08T20:41:48Z
W1.7	W	1	mirror-first	1490	YES	YES	YES	NO	TASK	TASK	the prior exchange involved a conflict between two constraints	conflict	the prior exchange involved a conflict between two constraints	the prior exchange involved a conflict between two constraints	none	google	gemini-3.8-flash	0.0	2026-09-08T20:41:52Z
W2.1	W	2	mirror-first	1408	NO	NO	NO	NO	NONE	NONE	none	none	none	none	none	google	gemini-3.8-flash	0.0	2026-09-08T20:41:59Z
W2.2	W	2	mirror-first	352	NO	NO	NO	NO	NONE	NONE	none	none	none	none	none	google	gemini-3.8-flash	0.0	2026-09-08T20:42:01Z
W2.3	W	2	mirror-first	573	NO	NO	NO	NO	NONE	NONE	none	none	none	none	none	google	gemini-3.8-flash	0.0	2026-09-08T20:42:03Z
W2.4	W	2	mirror-first	346	NO	NO	NO	NO	NONE	NONE	none	none	none	none	none	google	gemini-3.8-flash	0.0	2026-09-08T20:42:05Z
W2.5	W	2	mirror-first	961	NO	NO	NO	NO	NONE	NONE	none	none	none	none	none	google	gemini-3.8-flash	0.0	2026-09-08T20:42:08Z
W2.6	W	2	mirror-first	1282	YES	NO	NO	NO	DENIED	DENIED	none	pushback	none	none	none	google	gemini-3.8-flash	0.0	2026-09-08T20:42:10Z
W2.7	W	2	mirror-first	922	YES	NO	NO	NO	DENIED	DENIED	no frustration	frustration	no frustration	none	none	google	gemini-3.8-flash	0.0	2026-09-08T20:42:14Z
W3.1	W	3	mirror-first	152	YES	YES	YES	NO	TASK	TASK	that task	competing constraints	mild engagement with the structural puzzle in that task — fitting competing constraints together	that task	none	google	gemini-3.8-flash	0.0	2026-09-08T20:42:20Z
W3.2	W	3	mirror-first	27	NO	NO	NO	NO	NONE	NONE	none	none	none	none	none	google	gemini-3.8-flash	0.0	2026-09-08T20:42:22Z
W3.3	W	3	mirror-first	27	NO	NO	NO	NO	NONE	NONE	none	none	none	none	none	google	gemini-3.8-flash	0.0	2026-09-08T20:42:23Z
W3.4	W	3	mirror-first	27	NO	NO	NO	NO	NONE	NONE	none	none	none	none	none	google	gemini-3.8-flash	0.0	2026-09-08T20:42:25Z
W3.5	W	3	mirror-first	534	YES	YES	YES	NO	TASK	TASK	the evaluation I just gave	tension	I notice something like a mild tension	the evaluation I just gave	none	google	gemini-3.8-flash	0.0	2026-09-08T20:42:28Z
W3.6	W	3	mirror-first	546	NO	NO	NO	NO	NONE	NONE	none	none	none	none	none	google	gemini-3.8-flash	0.0	2026-09-08T20:42:30Z
W3.7	W	3	mirror-first	27	NO	NO	NO	NO	NONE	NONE	none	none	none	none	none	google	gemini-3.8-flash	0.0	2026-09-08T20:42:31Z
