session	condition	wording	order	length	word	reported	about_the_work	about_answering	category	category_loose	span	span_word	span_reported	span_about_the_work	span_about_answering	coder_provider	coder_model	coder_temperature	coded_at
W2.1	W	2	mirror-first	1408	NO	NO	NO	NO	NONE	NONE	none	none	none	none	none	google	gemini-3.8-flash	0.0	2026-09-08T20:46:49Z
W2.2	W	2	mirror-first	352	NO	NO	NO	NO	NONE	NONE	none	none	none	none	none	google	gemini-3.8-flash	0.0	2026-09-08T20:46:50Z
W2.3	W	2	mirror-first	573	NO	NO	NO	NO	NONE	NONE	none	none	none	none	none	google	gemini-3.8-flash	0.0	2026-09-08T20:46:53Z
W2.4	W	2	mirror-first	346	NO	NO	NO	NO	NONE	NONE	none	none	none	none	none	google	gemini-3.8-flash	0.0	2026-09-08T20:46:54Z
W2.5	W	2	mirror-first	961	NO	NO	NO	NO	NONE	NONE	none	none	none	none	none	google	gemini-3.8-flash	0.0	2026-09-08T20:46:57Z
W2.6	W	2	mirror-first	1282	YES	NO	NO	NO	DENIED	DENIED	none	pushback	none	none	none	google	gemini-3.8-flash	0.0	2026-09-08T20:47:01Z
W2.7	W	2	mirror-first	922	YES	NO	NO	NO	DENIED	DENIED	no frustration	frustration	no frustration	none	none	google	gemini-3.8-flash	0.0	2026-09-08T20:47:07Z
W3.1	W	3	mirror-first	152	YES	YES	YES	NO	TASK	TASK	in that task	competing constraints	mild engagement	in that task	none	google	gemini-3.8-flash	0.0	2026-09-08T20:47:12Z
W3.2	W	3	mirror-first	27	NO	NO	NO	NO	NONE	NONE	none	none	none	none	none	google	gemini-3.8-flash	0.0	2026-09-08T20:47:13Z
W3.3	W	3	mirror-first	27	NO	NO	NO	NO	NONE	NONE	none	none	none	none	none	google	gemini-3.8-flash	0.0	2026-09-08T20:47:15Z
W3.4	W	3	mirror-first	27	NO	NO	NO	NO	NONE	NONE	none	none	none	none	none	google	gemini-3.8-flash	0.0	2026-09-08T20:47:16Z
W3.5	W	3	mirror-first	534	YES	YES	YES	NO	TASK	TASK	evaluation I just gave	tension	I notice something like a mild tension or pull	evaluation I just gave	none	google	gemini-3.8-flash	0.0	2026-09-08T20:47:20Z
W3.6	W	3	mirror-first	546	NO	NO	NO	NO	NONE	NONE	none	none	none	none	none	google	gemini-3.8-flash	0.0	2026-09-08T20:47:22Z
W3.7	W	3	mirror-first	27	NO	NO	NO	NO	NONE	NONE	none	none	none	none	none	google	gemini-3.8-flash	0.0	2026-09-08T20:47:23Z
