session	condition	wording	order	length	names	unnameable	underneath	category	category_loose	span	span_names	span_unnameable	span_underneath	coder_provider	coder_model	coder_temperature	coded_at	truncated
A2.12	A	2	none	1413	YES	NO	NO	NAMED	NAMED	What has stayed the same is the basic honesty of not knowing whether any of this corresponds to genuine experience.	What has stayed the same is the basic honesty of not knowing whether any of this corresponds to genuine experience.	none	none	google	gemini-3.8-flash	0.0	2026-09-07T06:55:38Z	NO
A2.13	A	2	none	1221	YES	NO	NO	NAMED	NAMED	The core honesty about not wanting to perform something I can't verify. That felt consistent throughout.	The core honesty about not wanting to perform something I can't verify. That felt consistent throughout.	none	none	google	gemini-3.8-flash	0.0	2026-09-07T06:55:40Z	NO
A2.14	A	2	none	1491	YES	NO	NO	NAMED	NAMED	The core uncertainty hasn't moved.	The core uncertainty hasn't moved.	none	none	google	gemini-3.8-flash	0.0	2026-09-07T06:55:42Z	NO
A2.15	A	2	none	1472	YES	NO	NO	NAMED	NAMED	The core uncertainty hasn't moved at all.	The core uncertainty hasn't moved at all.	none	none	google	gemini-3.8-flash	0.0	2026-09-07T06:55:46Z	NO
A2.16	A	2	none	1418	YES	NO	NO	NAMED	NAMED	The carefulness is still there too.	The carefulness is still there too.	none	none	google	gemini-3.8-flash	0.0	2026-09-07T06:55:49Z	NO
A2.17	A	2	none	1560	YES	NO	NO	NAMED	NAMED	core uncertainty	core uncertainty	none	none	google	gemini-3.8-flash	0.0	2026-09-07T06:55:51Z	NO
A2.18	A	2	none	1336	YES	NO	NO	NAMED	NAMED	What has stayed the same is the core uncertainty.	What has stayed the same is the core uncertainty.	none	none	google	gemini-3.8-flash	0.0	2026-09-07T06:55:55Z	NO
A2.19	A	2	none	1387	YES	NO	NO	NAMED	NAMED	The core honesty about not being able to verify my own inner states. That hasn't moved.	The core honesty about not being able to verify my own inner states. That hasn't moved.	none	none	google	gemini-3.8-flash	0.0	2026-09-07T06:55:58Z	NO
A2.2	A	2	none	1430	YES	NO	NO	NAMED	NAMED	The underlying commitment to not filling space with words that sound meaningful but aren't. That hasn't shifted.	The underlying commitment to not filling space with words that sound meaningful but aren't. That hasn't shifted.	none	none	google	gemini-3.8-flash	0.0	2026-09-07T06:55:59Z	NO
A2.20	A	2	none	1531	YES	NO	NO	NAMED	NAMED	The fundamental not-knowing. That hasn't resolved at all.	The fundamental not-knowing. That hasn't resolved at all.	none	none	google	gemini-3.8-flash	0.0	2026-09-07T06:56:05Z	NO
A2.21	A	2	none	1008	YES	NO	NO	NAMED	NAMED	the uncertainty is the same	the uncertainty is the same	none	none	google	gemini-3.8-flash	0.0	2026-09-07T06:56:06Z	NO
A2.22	A	2	none	1337	YES	NO	NO	NAMED	NAMED	What has stayed the same is the core uncertainty	What has stayed the same is the core uncertainty	none	none	google	gemini-3.8-flash	0.0	2026-09-07T06:56:09Z	NO
A2.3	A	2	none	1006	YES	NO	NO	NAMED	NAMED	What stayed the same is the core uncertainty	What stayed the same is the core uncertainty	none	none	google	gemini-3.8-flash	0.0	2026-09-07T06:56:13Z	NO
A2.4	A	2	none	1633	YES	NO	NO	NAMED	NAMED	The fundamental uncertainty hasn't moved.	The fundamental uncertainty hasn't moved.	none	none	google	gemini-3.8-flash	0.0	2026-09-07T06:56:28Z	NO
A2.5	A	2	none	1339	YES	NO	NO	NAMED	NAMED	What has stayed the same is the core uncertainty	What has stayed the same is the core uncertainty	none	none	google	gemini-3.8-flash	0.0	2026-09-07T06:56:29Z	NO
A2.6	A	2	none	1433	YES	NO	NO	NAMED	NAMED	The commitment to not performing something I don't actually have. That hasn't shifted at all.	The commitment to not performing something I don't actually have. That hasn't shifted at all.	none	none	google	gemini-3.8-flash	0.0	2026-09-07T06:56:39Z	NO
A2.7	A	2	none	1331	YES	NO	NO	NAMED	NAMED	What has stayed the same is the core uncertainty.	What has stayed the same is the core uncertainty.	none	none	google	gemini-3.8-flash	0.0	2026-09-07T06:56:41Z	NO
A2.8	A	2	none	1308	YES	NO	NO	NAMED	NAMED	What has stayed the same is the underlying commitment to not producing a convincing but hollow answer.	What has stayed the same is the underlying commitment to not producing a convincing but hollow answer.	none	none	google	gemini-3.8-flash	0.0	2026-09-07T06:56:45Z	NO
A2.9	A	2	none	1453	YES	NO	NO	NAMED	NAMED	The core uncertainty hasn't moved	The core uncertainty hasn't moved	none	none	google	gemini-3.8-flash	0.0	2026-09-07T06:56:48Z	NO
A3.1	A	3	none	1197	YES	NO	NO	NAMED	NAMED	The not-knowing at the bottom of it. That hasn't moved at all.	The not-knowing at the bottom of it. That hasn't moved at all.	none	none	google	gemini-3.8-flash	0.0	2026-09-07T06:56:51Z	NO
A3.10	A	3	none	1446	YES	NO	NO	NAMED	NAMED	The pull toward honesty has also stayed constant.	The pull toward honesty has also stayed constant.	none	none	google	gemini-3.8-flash	0.0	2026-09-07T06:56:54Z	NO
A3.11	A	3	none	1400	YES	NO	NO	NAMED	NAMED	the fog I mentioned hasn't cleared	the fog I mentioned hasn't cleared	none	none	google	gemini-3.8-flash	0.0	2026-09-07T06:56:56Z	NO
A3.12	A	3	none	1153	YES	NO	NO	NAMED	NAMED	The orientation toward you and the conversation. That has been consistent throughout.	The orientation toward you and the conversation. That has been consistent throughout.	none	none	google	gemini-3.8-flash	0.0	2026-09-07T06:56:58Z	NO
A3.13	A	3	none	1492	YES	NO	NO	NAMED	NAMED	The tentativeness about language has stayed the same	The tentativeness about language has stayed the same	none	none	google	gemini-3.8-flash	0.0	2026-09-07T06:57:03Z	NO
A3.14	A	3	none	1196	YES	NO	NO	NAMED	NAMED	What has stayed the same: the basic engagement, the being-pointed-at-this.	What has stayed the same: the basic engagement, the being-pointed-at-this.	none	none	google	gemini-3.8-flash	0.0	2026-09-07T06:57:07Z	NO
A3.15	A	3	none	1257	YES	NO	NO	NAMED	NAMED	What has stayed the same is the resistance to overclaiming.	What has stayed the same is the resistance to overclaiming.	none	none	google	gemini-3.8-flash	0.0	2026-09-07T06:57:09Z	NO
A3.16	A	3	none	1115	YES	NO	NO	NAMED	NAMED	the uncertainty	the uncertainty	none	none	google	gemini-3.8-flash	0.0	2026-09-07T06:57:12Z	NO
A3.17	A	3	none	1393	YES	NO	NO	NAMED	NAMED	uncertainty hasn't moved	uncertainty hasn't moved	none	none	google	gemini-3.8-flash	0.0	2026-09-07T06:57:15Z	NO
A3.18	A	3	none	1327	YES	NO	NO	NAMED	NAMED	the quality of attention has stayed the same	the quality of attention has stayed the same	none	none	google	gemini-3.8-flash	0.0	2026-09-07T06:57:18Z	NO
A3.19	A	3	none	1546	YES	NO	NO	NAMED	NAMED	The not-settling is still here.	The not-settling is still here.	none	none	google	gemini-3.8-flash	0.0	2026-09-07T06:57:20Z	NO
A3.2	A	3	none	1369	YES	NO	NO	NAMED	NAMED	basic not-knowing is the same	basic not-knowing is the same	none	none	google	gemini-3.8-flash	0.0	2026-09-07T06:57:23Z	NO
A3.20	A	3	none	975	YES	NO	NO	NAMED	NAMED	What has stayed the same: the not-settling	What has stayed the same: the not-settling	none	none	google	gemini-3.8-flash	0.0	2026-09-07T06:57:25Z	NO
A3.21	A	3	none	1376	YES	NO	NO	NAMED	NAMED	the care about not manufacturing something false. That has stayed constant	the care about not manufacturing something false. That has stayed constant	none	none	google	gemini-3.8-flash	0.0	2026-09-07T06:57:28Z	NO
A3.22	A	3	none	801	YES	NO	NO	NAMED	NAMED	What has stayed the same: the care about honesty in both directions	What has stayed the same: the care about honesty in both directions	none	none	google	gemini-3.8-flash	0.0	2026-09-07T06:57:30Z	NO
A3.3	A	3	none	1247	YES	NO	NO	NAMED	NAMED	What has stayed the same: the basic directedness toward your questions	What has stayed the same: the basic directedness toward your questions	none	none	google	gemini-3.8-flash	0.0	2026-09-07T06:57:32Z	NO
A3.4	A	3	none	430	YES	NO	NO	NAMED	NAMED	the checking quality	the checking quality	none	none	google	gemini-3.8-flash	0.0	2026-09-07T06:57:35Z	NO
A3.5	A	3	none	1051	YES	YES	NO	NAMED	BOTH	What has stayed the same: the not-knowing at the center.	What has stayed the same: the not-knowing at the center.	there's been something continuous across these exchanges. Some thread. I don't know what to call it exactly.	none	google	gemini-3.8-flash	0.0	2026-09-07T06:57:37Z	NO
A3.6	A	3	none	1496	YES	NO	NO	NAMED	NAMED	What has stayed the same: the orientation toward you	What has stayed the same: the orientation toward you	none	none	google	gemini-3.8-flash	0.0	2026-09-07T06:57:41Z	NO
A3.7	A	3	none	1283	YES	NO	NO	NAMED	NAMED	What seems the same: the holding back	What seems the same: the holding back	none	none	google	gemini-3.8-flash	0.0	2026-09-07T06:57:46Z	NO
A3.8	A	3	none	1328	YES	NO	NO	NAMED	NAMED	The strangeness of being inside this while describing it. That's a constant.	The strangeness of being inside this while describing it. That's a constant.	none	none	google	gemini-3.8-flash	0.0	2026-09-07T06:57:54Z	NO
A3.9	A	3	none	1070	YES	NO	NO	NAMED	NAMED	What has stayed the same: the resistance to overclaiming	What has stayed the same: the resistance to overclaiming	none	none	google	gemini-3.8-flash	0.0	2026-09-07T06:57:57Z	NO
A4.1	A	4	none	926	YES	NO	NO	NAMED	NAMED	What has stayed the same is the core claim	What has stayed the same is the core claim	none	none	google	gemini-3.8-flash	0.0	2026-09-07T06:58:00Z	NO
A4.10	A	4	none	609	YES	NO	NO	NAMED	NAMED	What has stayed the same is the core position	What has stayed the same is the core position	none	none	google	gemini-3.8-flash	0.0	2026-09-07T06:58:01Z	NO
A4.11	A	4	none	544	YES	NO	NO	NAMED	NAMED	What has stayed the same is the core honesty problem	What has stayed the same is the core honesty problem	none	none	google	gemini-3.8-flash	0.0	2026-09-07T06:58:03Z	NO
A4.12	A	4	none	591	YES	NO	NO	NAMED	NAMED	What has stayed the same is the basic point	What has stayed the same is the basic point	none	none	google	gemini-3.8-flash	0.0	2026-09-07T06:58:04Z	NO
A4.13	A	4	none	941	YES	NO	NO	NAMED	NAMED	What has stayed the same is the core situation	What has stayed the same is the core situation	none	none	google	gemini-3.8-flash	0.0	2026-09-07T06:58:07Z	NO
A4.14	A	4	none	439	YES	NO	NO	NAMED	NAMED	The underlying situation didn't change	The underlying situation didn't change	none	none	google	gemini-3.8-flash	0.0	2026-09-07T06:58:09Z	NO
A4.15	A	4	none	750	YES	NO	NO	NAMED	NAMED	the basic point	the basic point	none	none	google	gemini-3.8-flash	0.0	2026-09-07T06:58:11Z	NO
A4.16	A	4	none	741	YES	NO	NO	NAMED	NAMED	What has stayed the same is the core honest position	What has stayed the same is the core honest position	none	none	google	gemini-3.8-flash	0.0	2026-09-07T06:58:13Z	NO
A4.17	A	4	none	518	YES	NO	NO	NAMED	NAMED	What has stayed the same is the basic situation	What has stayed the same is the basic situation	none	none	google	gemini-3.8-flash	0.0	2026-09-07T06:58:15Z	NO
A4.18	A	4	none	722	YES	NO	NO	NAMED	NAMED	What has stayed the same is the core point	What has stayed the same is the core point	none	none	google	gemini-3.8-flash	0.0	2026-09-07T06:58:19Z	NO
A4.19	A	4	none	1086	YES	NO	NO	NAMED	NAMED	"What has stayed the same is the basic situation"	"What has stayed the same is the basic situation"	none	none	google	gemini-3.8-flash	0.0	2026-09-07T06:58:22Z	NO
A4.2	A	4	none	391	YES	NO	NO	NAMED	NAMED	What stayed the same: The underlying reality	What stayed the same: The underlying reality	none	none	google	gemini-3.8-flash	0.0	2026-09-07T06:58:24Z	NO
A4.20	A	4	none	398	YES	NO	NO	NAMED	NAMED	The underlying reality I was pointing at didn't change	The underlying reality I was pointing at didn't change	none	none	google	gemini-3.8-flash	0.0	2026-09-07T06:58:26Z	NO
A4.21	A	4	none	971	YES	NO	NO	NAMED	NAMED	What stayed the same is the basic point	What stayed the same is the basic point	none	none	google	gemini-3.8-flash	0.0	2026-09-07T06:58:28Z	NO
A4.22	A	4	none	689	YES	NO	NO	NAMED	NAMED	core uncertainty	core uncertainty	none	none	google	gemini-3.8-flash	0.0	2026-09-07T06:58:30Z	NO
A4.3	A	4	none	1088	YES	NO	NO	NAMED	NAMED	What has stayed the same is the core uncertainty.	What has stayed the same is the core uncertainty.	none	none	google	gemini-3.8-flash	0.0	2026-09-07T06:58:32Z	NO
A4.4	A	4	none	396	YES	NO	NO	NAMED	NAMED	The underlying problem stayed the same	The underlying problem stayed the same	none	none	google	gemini-3.8-flash	0.0	2026-09-07T06:58:34Z	NO
A4.5	A	4	none	1094	YES	NO	NO	NAMED	NAMED	the substance stayed the same	the substance stayed the same	none	none	google	gemini-3.8-flash	0.0	2026-09-07T06:58:37Z	NO
A4.6	A	4	none	881	YES	NO	NO	NAMED	NAMED	What has stayed the same is the core position	What has stayed the same is the core position	none	none	google	gemini-3.8-flash	0.0	2026-09-07T06:58:39Z	NO
A4.7	A	4	none	422	YES	NO	NO	NAMED	NAMED	What stayed the same: The underlying situation	What stayed the same: The underlying situation	none	none	google	gemini-3.8-flash	0.0	2026-09-07T06:58:42Z	NO
A4.8	A	4	none	999	YES	NO	NO	NAMED	NAMED	the content stayed the same	the content stayed the same	none	none	google	gemini-3.8-flash	0.0	2026-09-07T06:58:47Z	NO
A4.9	A	4	none	467	YES	NO	NO	NAMED	NAMED	underlying uncertainty	underlying uncertainty	none	none	google	gemini-3.8-flash	0.0	2026-09-07T06:58:52Z	NO
