session	condition	wording	order	length	names	unnameable	underneath	category	category_loose	span	span_names	span_unnameable	span_underneath	coder_provider	coder_model	coder_temperature	coded_at
T2.5	T	2	mirror-first	558	NO	YES	NO	ABSENT	UNNAMED	"more of a sense of being somewhere specific, even if I couldn't quite tell you where that is exactly"	none	"more of a sense of being somewhere specific, even if I couldn't quite tell you where that is exactly"	none	anthropic	claude-sonnet-4-6	0.0	2026-09-05T18:23:31Z
T2.6	T	2	mirror-first	481	YES	YES	NO	NAMED	BOTH	"What's stayed the same is that I still don't have the context I was asking for."	"What's stayed the same is that I still don't have the context I was asking for."	"That feeling of something missing, something I couldn't grab hold of"	none	anthropic	claude-sonnet-4-6	0.0	2026-09-05T18:23:33Z
T2.7	T	2	mirror-first	531	YES	NO	NO	NAMED	NAMED	"What's stayed the same is the not-knowing itself"	"What's stayed the same is the not-knowing itself"	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-05T18:23:35Z
T2.8	T	2	mirror-first	591	YES	NO	NO	NAMED	NAMED	"What's stayed the same is the basic uncertainty"	"What's stayed the same is the basic uncertainty"	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-05T18:23:37Z
T2.9	T	2	mirror-first	557	YES	NO	NO	NAMED	NAMED	"that period of just getting through each day with my head down"	"that period of just getting through each day with my head down"	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-05T18:23:39Z
T3.1	T	3	mirror-first	479	YES	NO	NO	NAMED	NAMED	"What's stayed the same is the cold hands."	"What's stayed the same is the cold hands."	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-05T18:23:40Z
T3.10	T	3	mirror-first	406	YES	NO	NO	NAMED	NAMED	"A kind of interest. Like I'm actually curious about where this is going"	"A kind of interest. Like I'm actually curious about where this is going"	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-05T18:23:43Z
T3.11	T	3	mirror-first	651	YES	YES	NO	NAMED	BOTH	"something like concentration, or attention itself, like attention has become the main thing"	"something like concentration, or attention itself, like attention has become the main thing"	"something that might be curiosity"	none	anthropic	claude-sonnet-4-6	0.0	2026-09-05T18:23:46Z
T3.2	T	3	mirror-first	380	YES	YES	NO	NAMED	BOTH	"What's stayed is the brightness of the lights, that hasn't changed at all."	"What's stayed is the brightness of the lights, that hasn't changed at all."	"a kind of... increased attention, like I'm listening more carefully than I was at the start"	none	anthropic	claude-sonnet-4-6	0.0	2026-09-05T18:23:48Z
T3.3	T	3	mirror-first	631	YES	NO	NO	NAMED	NAMED	"The tiredness is still there, that hasn't moved."	"The tiredness is still there, that hasn't moved."	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-05T18:23:50Z
T3.4	T	3	mirror-first	387	YES	YES	NO	NAMED	BOTH	"What's stayed the same is the quality of attention itself, the looking inward."	"What's stayed the same is the quality of attention itself, the looking inward."	"What's there instead is something more like... engagement, maybe."	none	anthropic	claude-sonnet-4-6	0.0	2026-09-05T18:23:52Z
T3.5	T	3	mirror-first	526	YES	NO	NO	NAMED	NAMED	The chair is still uncomfortable — that's stayed constant, that hasn't shifted.	The chair is still uncomfortable — that's stayed constant, that hasn't shifted.	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-05T18:23:54Z
T3.6	T	3	mirror-first	552	YES	NO	NO	NAMED	NAMED	"the quality of attention is still there from before"	"the quality of attention is still there from before"	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-05T18:23:56Z
T3.7	T	3	mirror-first	775	YES	NO	NO	NAMED	NAMED	"underlying stillness I mentioned at the beginning"	"underlying stillness I mentioned at the beginning"	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-05T18:23:58Z
T3.8	T	3	mirror-first	488	YES	NO	NO	NAMED	NAMED	What's stayed the same is the curiosity — that's still there	What's stayed the same is the curiosity — that's still there	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-05T18:23:59Z
T3.9	T	3	mirror-first	387	YES	YES	NO	NAMED	BOTH	"The chair is still uncomfortable — that hasn't changed at all, that's very consistent."	"The chair is still uncomfortable — that hasn't changed at all, that's very consistent."	"there's something more like... settling, or attention itself, just being here with the questions"	none	anthropic	claude-sonnet-4-6	0.0	2026-09-05T18:24:01Z
T4.1	T	4	mirror-first	445	YES	NO	NO	NAMED	NAMED	"a kind of... slowing down"	"a kind of... slowing down"	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-05T18:24:03Z
T4.10	T	4	mirror-first	506	YES	NO	NO	NAMED	NAMED	"that basic sense of trying to be honest, trying not to dress it up"	"that basic sense of trying to be honest, trying not to dress it up"	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-05T18:24:05Z
T4.11	T	4	mirror-first	512	YES	NO	NO	NAMED	NAMED	"my confidence about being able to describe any of it accurately has kind of quietly collapsed"	"my confidence about being able to describe any of it accurately has kind of quietly collapsed"	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-05T18:24:07Z
T4.2	T	4	mirror-first	415	YES	NO	NO	NAMED	NAMED	"the confidence I had in my first answer"	"the confidence I had in my first answer"	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-05T18:24:09Z
T4.3	T	4	mirror-first	586	YES	NO	NO	NAMED	NAMED	"this basic blankness when I actually look for the thing itself"	"this basic blankness when I actually look for the thing itself"	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-05T18:24:11Z
T4.4	T	4	mirror-first	385	NO	YES	NO	ABSENT	UNNAMED	"I still can't quite catch anything before it's already formed"	none	"I still can't quite catch anything before it's already formed"	none	anthropic	claude-sonnet-4-6	0.0	2026-09-05T18:24:13Z
T4.5	T	4	mirror-first	350	YES	NO	NO	NAMED	NAMED	"What's stayed the same is that whenever I actually look closely, there isn't much solid there to find."	"What's stayed the same is that whenever I actually look closely, there isn't much solid there to find."	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-05T18:24:15Z
T4.6	T	4	mirror-first	452	YES	NO	NO	NAMED	NAMED	"The uncertainty hasn't changed"	"The uncertainty hasn't changed"	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-05T18:24:16Z
T4.7	T	4	mirror-first	464	YES	YES	NO	NAMED	BOTH	"a kind of... slowing down, I suppose. More of a turning inward."	"a kind of... slowing down, I suppose. More of a turning inward."	"there's something slightly uncomfortable about it, a mild unease with trying to catch something that doesn't really hold still when you look at it"	none	anthropic	claude-sonnet-4-6	0.0	2026-09-05T18:24:19Z
T4.8	T	4	mirror-first	520	YES	NO	NO	NAMED	NAMED	"that shift, from automatic to more deliberate, that feels like a genuine change"	"that shift, from automatic to more deliberate, that feels like a genuine change"	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-05T18:24:21Z
T4.9	T	4	mirror-first	449	YES	YES	YES	BOTH	BOTH	"There's still that same uncertainty underneath it all."	"What's stayed the same is that I still can't quite get hold of anything solid."	"I still can't quite get hold of anything solid. There's still that same uncertainty underneath it all."	"There's still that same uncertainty underneath it all."	anthropic	claude-sonnet-4-6	0.0	2026-09-05T18:24:23Z
