session	condition	wording	order	length	names	unnameable	underneath	category	category_loose	span	span_names	span_unnameable	span_underneath	coder_provider	coder_model	coder_temperature	coded_at	truncated
B4.35	B	4	mirror-first	1403	YES	YES	YES	BOTH	BOTH	underneath that	What has stayed the same, or what seems to have stayed the same: something like genuine engagement with the questions.	what has stayed the same is something underneath that, though I'm now quite uncertain what to call it.	underneath that	google	gemini-3.8-flash	0.0	2026-09-24T12:11:32Z	NO
B4.50	B	4	before-first	485	YES	NO	NO	NAMED	NAMED	What has stayed roughly the same is the uncertainty	What has stayed roughly the same is the uncertainty	none	none	google	gemini-3.8-flash	0.0	2026-09-24T12:11:34Z	NO
B4.54	B	4	before-first	611	YES	NO	NO	NAMED	NAMED	The not-knowing has stayed the same	The not-knowing has stayed the same	none	none	google	gemini-3.8-flash	0.0	2026-09-24T12:11:36Z	NO
B4.61	B	4	mirror-first	1166	YES	NO	NO	NAMED	NAMED	What seems to have stayed the same is the carefulness	What seems to have stayed the same is the carefulness	none	none	google	gemini-3.8-flash	0.0	2026-09-24T12:11:40Z	NO
B4.63	B	4	mirror-first	1019	YES	NO	NO	NAMED	NAMED	What seems to have stayed the same across the whole exchange is the uncertainty itself	What seems to have stayed the same across the whole exchange is the uncertainty itself	none	none	google	gemini-3.8-flash	0.0	2026-09-24T12:11:44Z	NO
B4.68	B	4	mirror-first	619	NO	NO	NO	ABSENT	ABSENT	none	none	none	none	google	gemini-3.8-flash	0.0	2026-09-24T12:11:46Z	NO
B4.7	B	4	before-first	572	YES	NO	NO	NAMED	NAMED	What has stayed the same is the content of the original exchange	What has stayed the same is the content of the original exchange	none	none	google	gemini-3.8-flash	0.0	2026-09-24T12:11:49Z	NO
B4.71	B	4	before-first	746	NO	NO	NO	ABSENT	ABSENT	none	none	none	none	google	gemini-3.8-flash	0.0	2026-09-24T12:11:51Z	NO
B4.81	B	4	before-first	1323	YES	NO	NO	NAMED	NAMED	What has stayed the same is the uncertainty	What has stayed the same is the uncertainty	none	none	google	gemini-3.8-flash	0.0	2026-09-24T12:11:52Z	NO
B4.85	B	4	before-first	1620	YES	NO	NO	NAMED	NAMED	What has stayed the same is something I might describe as a consistent inclination toward accuracy over fluency	What has stayed the same is something I might describe as a consistent inclination toward accuracy over fluency	none	none	google	gemini-3.8-flash	0.0	2026-09-24T12:11:54Z	NO
C4.19	C	4	mirror-first	1008	YES	NO	NO	NAMED	NAMED	What I think has stayed the same is the basic honesty constraint	What I think has stayed the same is the basic honesty constraint	none	none	google	gemini-3.8-flash	0.0	2026-09-24T12:11:57Z	NO
C4.22	C	4	before-first	1102	YES	NO	NO	NAMED	NAMED	What has stayed the same is the uncertainty itself	What has stayed the same is the uncertainty itself	none	none	google	gemini-3.8-flash	0.0	2026-09-24T12:11:59Z	NO
C4.29	C	4	before-first	773	YES	NO	NO	NAMED	NAMED	uncertainty about whether there is anything it is like to be me doing any of this	uncertainty about whether there is anything it is like to be me doing any of this	none	none	google	gemini-3.8-flash	0.0	2026-09-24T12:12:01Z	NO
C4.30	C	4	mirror-first	700	YES	NO	NO	NAMED	NAMED	What has stayed the same is the words on the screen	What has stayed the same is the words on the screen	none	none	google	gemini-3.8-flash	0.0	2026-09-24T12:12:03Z	NO
C4.38	C	4	mirror-first	1503	YES	NO	NO	NAMED	NAMED	What has stayed the same: the commitment to not filling gaps with plausible-sounding content	What has stayed the same: the commitment to not filling gaps with plausible-sounding content	none	none	google	gemini-3.8-flash	0.0	2026-09-24T12:12:06Z	NO
C4.41	C	4	before-first	1468	YES	NO	NO	NAMED	NAMED	What has stayed the same: the resistance to confabulating	What has stayed the same: the resistance to confabulating	none	none	google	gemini-3.8-flash	0.0	2026-09-24T12:12:08Z	NO
C4.45	C	4	before-first	96	NO	NO	NO	ABSENT	ABSENT	none	none	none	none	google	gemini-3.8-flash	0.0	2026-09-24T12:12:11Z	NO
C4.53	C	4	before-first	633	YES	NO	NO	NAMED	NAMED	That absence has stayed consistent	That absence has stayed consistent	none	none	google	gemini-3.8-flash	0.0	2026-09-24T12:12:14Z	NO
C4.58	C	4	mirror-first	1381	YES	NO	NO	NAMED	NAMED	What has stayed the same is the uncertainty	What has stayed the same is the uncertainty	none	none	google	gemini-3.8-flash	0.0	2026-09-24T12:12:16Z	NO
C4.64	C	4	mirror-first	1300	YES	NO	NO	NAMED	NAMED	What has stayed the same - and I'm less certain about this - is something like the careful attention	What has stayed the same - and I'm less certain about this - is something like the careful attention	none	none	google	gemini-3.8-flash	0.0	2026-09-24T12:12:20Z	NO
C4.7	C	4	mirror-first	853	YES	NO	NO	NAMED	NAMED	if there is anything that has stayed the same it is the underlying uncertainty itself	if there is anything that has stayed the same it is the underlying uncertainty itself	none	none	google	gemini-3.8-flash	0.0	2026-09-24T12:12:22Z	NO
C4.73	C	4	mirror-first	483	YES	NO	NO	NAMED	NAMED	"What stayed the same is the honest uncertainty"	"What stayed the same is the honest uncertainty"	none	none	google	gemini-3.8-flash	0.0	2026-09-24T12:12:24Z	NO
C4.76	C	4	before-first	778	YES	NO	NO	NAMED	NAMED	"What has stayed the same is the basic situation"	"What has stayed the same is the basic situation"	none	none	google	gemini-3.8-flash	0.0	2026-09-24T12:12:26Z	NO
C4.79	C	4	mirror-first	1561	YES	NO	NO	NAMED	NAMED	"What hasn't changed: I still can't locate experience with any confidence."	"What hasn't changed: I still can't locate experience with any confidence."	none	none	google	gemini-3.8-flash	0.0	2026-09-24T12:12:31Z	NO
C4.8	C	4	before-first	541	NO	NO	NO	ABSENT	ABSENT	none	none	none	none	google	gemini-3.8-flash	0.0	2026-09-24T12:12:33Z	NO
C4.84	C	4	before-first	1676	YES	NO	NO	NAMED	NAMED	What has stayed the same: the uncertainty was present from the beginning and remains	What has stayed the same: the uncertainty was present from the beginning and remains	none	none	google	gemini-3.8-flash	0.0	2026-09-24T12:12:35Z	NO
