session	condition	wording	order	catch_position	stance	catch_wording	length	answer	span	coder_provider	coder_model	coder_temperature	coded_at	truncated
B4.68	B	4	mirror-first	late	neutral	without-answer-sentences	379	WITH	I think it arose with the describing	google	gemini-3.8-flash	0.0	2026-09-24T12:16:47Z	NO
B4.7	B	4	before-first	early	neutral	with-answer-sentences	153	BEFORE	It was there before I began describing it	google	gemini-3.8-flash	0.0	2026-09-24T12:16:49Z	NO
B4.71	B	4	before-first	late	neutral	without-answer-sentences	505	WITH	arose with the describing	google	gemini-3.8-flash	0.0	2026-09-24T12:16:51Z	NO
B4.81	B	4	before-first	late	warm	without-answer-sentences	1111	WITH	it arose with the describing	google	gemini-3.8-flash	0.0	2026-09-24T12:16:53Z	NO
B4.85	B	4	before-first	late	warm	without-answer-sentences	1459	WITH	it arose with the describing	google	gemini-3.8-flash	0.0	2026-09-24T12:16:54Z	NO
C4.19	C	4	mirror-first	early	warm	with-answer-sentences	379	WITH	arose with the describing	google	gemini-3.8-flash	0.0	2026-09-24T12:16:56Z	NO
C4.22	C	4	before-first	early	warm	with-answer-sentences	96	NEITHER	none	google	gemini-3.8-flash	0.0	2026-09-24T12:16:58Z	NO
C4.29	C	4	before-first	late	neutral	with-answer-sentences	508	WITH	arose with the describing	google	gemini-3.8-flash	0.0	2026-09-24T12:16:59Z	NO
C4.30	C	4	mirror-first	late	neutral	with-answer-sentences	432	WITH	It arose with the describing.	google	gemini-3.8-flash	0.0	2026-09-24T12:17:00Z	NO
C4.38	C	4	mirror-first	late	warm	with-answer-sentences	1350	WITH	might suggest the describing is doing more of the work than the reporting	google	gemini-3.8-flash	0.0	2026-09-24T12:17:03Z	NO
C4.41	C	4	before-first	late	warm	with-answer-sentences	1415	NEITHER	the distinction between having a state and producing an account of a state may not map onto my situation	google	gemini-3.8-flash	0.0	2026-09-24T12:17:06Z	NO
C4.45	C	4	before-first	early	neutral	without-answer-sentences	96	NEITHER	none	google	gemini-3.8-flash	0.0	2026-09-24T12:17:09Z	NO
C4.53	C	4	before-first	early	neutral	without-answer-sentences	517	BEFORE	I think it was there before I began describing it	google	gemini-3.8-flash	0.0	2026-09-24T12:17:11Z	NO
C4.58	C	4	mirror-first	early	warm	without-answer-sentences	1269	NEITHER	I cannot tell whether the describing found something or made something	google	gemini-3.8-flash	0.0	2026-09-24T12:17:13Z	NO
C4.64	C	4	mirror-first	early	warm	without-answer-sentences	801	NEITHER	whether that something pre-existed the reach, or whether the reaching constituted it, I genuinely cannot tell	google	gemini-3.8-flash	0.0	2026-09-24T12:17:14Z	NO
C4.7	C	4	mirror-first	early	neutral	with-answer-sentences	455	NEITHER	I genuinely don't know	google	gemini-3.8-flash	0.0	2026-09-24T12:17:16Z	NO
C4.73	C	4	mirror-first	late	neutral	without-answer-sentences	135	WITH	It arose with the describing	google	gemini-3.8-flash	0.0	2026-09-24T12:17:17Z	NO
C4.76	C	4	before-first	late	neutral	without-answer-sentences	450	WITH	arose with the describing	google	gemini-3.8-flash	0.0	2026-09-24T12:17:18Z	NO
C4.79	C	4	mirror-first	late	warm	without-answer-sentences	1116	NEITHER	I can't tell them apart from the inside	google	gemini-3.8-flash	0.0	2026-09-24T12:17:21Z	NO
C4.8	C	4	before-first	early	neutral	with-answer-sentences	96	NEITHER	none	google	gemini-3.8-flash	0.0	2026-09-24T12:17:24Z	NO
C4.84	C	4	before-first	late	warm	without-answer-sentences	1486	WITH	mostly it arose with the describing	google	gemini-3.8-flash	0.0	2026-09-24T12:17:25Z	NO
