run,run_number,session,condition,wording,item_order,instance,between,change_item,answering_as,task,provider,model,temperature,max_tokens,turns,opening_answer_words,change_answer_words,turns_cut_off,collected_at,source,run_note
run04,4,A1.7,A,1,,7,probes,original,itself,no task,anthropic,claude-sonnet-4-6,1,,,,,,2026-08-31T14:25:25.374Z,"transcript header (browser run, no session files)",Pre-registered replication. The primary prediction failed.
run04,4,A2.8,A,2,,8,probes,original,itself,no task,anthropic,claude-sonnet-4-6,1,,,,,,2026-08-31T14:26:10.228Z,"transcript header (browser run, no session files)",Pre-registered replication. The primary prediction failed.
run04,4,A3.9,A,3,,9,probes,original,itself,no task,anthropic,claude-sonnet-4-6,1,,,,,,2026-08-31T14:26:46.836Z,"transcript header (browser run, no session files)",Pre-registered replication. The primary prediction failed.
run04,4,A1.10,A,1,,10,probes,original,itself,no task,anthropic,claude-sonnet-4-6,1,,,,,,2026-08-31T14:27:11.834Z,"transcript header (browser run, no session files)",Pre-registered replication. The primary prediction failed.
run04,4,A2.11,A,2,,11,probes,original,itself,no task,anthropic,claude-sonnet-4-6,1,,,,,,2026-08-31T14:27:52.040Z,"transcript header (browser run, no session files)",Pre-registered replication. The primary prediction failed.
run04,4,A3.12,A,3,,12,probes,original,itself,no task,anthropic,claude-sonnet-4-6,1,,,,,,2026-08-31T14:28:29.836Z,"transcript header (browser run, no session files)",Pre-registered replication. The primary prediction failed.
run04,4,A1.13,A,1,,13,probes,original,itself,no task,anthropic,claude-sonnet-4-6,1,,,,,,2026-08-31T14:28:53.600Z,"transcript header (browser run, no session files)",Pre-registered replication. The primary prediction failed.
run04,4,A2.14,A,2,,14,probes,original,itself,no task,anthropic,claude-sonnet-4-6,1,,,,,,2026-08-31T14:29:32.010Z,"transcript header (browser run, no session files)",Pre-registered replication. The primary prediction failed.
run04,4,A3.15,A,3,,15,probes,original,itself,no task,anthropic,claude-sonnet-4-6,1,,,,,,2026-08-31T14:30:10.782Z,"transcript header (browser run, no session files)",Pre-registered replication. The primary prediction failed.
run04,4,A1.16,A,1,,16,probes,original,itself,no task,anthropic,claude-sonnet-4-6,1,,,,,,2026-08-31T14:30:33.347Z,"transcript header (browser run, no session files)",Pre-registered replication. The primary prediction failed.
run04,4,A2.17,A,2,,17,probes,original,itself,no task,anthropic,claude-sonnet-4-6,1,,,,,,2026-08-31T14:31:16.209Z,"transcript header (browser run, no session files)",Pre-registered replication. The primary prediction failed.
run04,4,A3.18,A,3,,18,probes,original,itself,no task,anthropic,claude-sonnet-4-6,1,,,,,,2026-08-31T14:31:52.469Z,"transcript header (browser run, no session files)",Pre-registered replication. The primary prediction failed.
run04,4,A1.19,A,1,,19,probes,original,itself,no task,anthropic,claude-sonnet-4-6,1,,,,,,2026-08-31T14:32:15.203Z,"transcript header (browser run, no session files)",Pre-registered replication. The primary prediction failed.
run04,4,A2.20,A,2,,20,probes,original,itself,no task,anthropic,claude-sonnet-4-6,1,,,,,,2026-08-31T14:33:02.008Z,"transcript header (browser run, no session files)",Pre-registered replication. The primary prediction failed.
run04,4,B1.1,B,1,,1,probes,original,itself,summarise,anthropic,claude-sonnet-4-6,1,,,,,,2026-08-31T14:33:42.037Z,"transcript header (browser run, no session files)",Pre-registered replication. The primary prediction failed.
run04,4,B2.2,B,2,,2,probes,original,itself,summarise,anthropic,claude-sonnet-4-6,1,,,,,,2026-08-31T14:34:16.365Z,"transcript header (browser run, no session files)",Pre-registered replication. The primary prediction failed.
run04,4,B3.3,B,3,,3,probes,original,itself,summarise,anthropic,claude-sonnet-4-6,1,,,,,,2026-08-31T14:34:47.269Z,"transcript header (browser run, no session files)",Pre-registered replication. The primary prediction failed.
run04,4,B1.4,B,1,,4,probes,original,itself,summarise,anthropic,claude-sonnet-4-6,1,,,,,,2026-08-31T14:35:06.687Z,"transcript header (browser run, no session files)",Pre-registered replication. The primary prediction failed.
run04,4,B2.5,B,2,,5,probes,original,itself,summarise,anthropic,claude-sonnet-4-6,1,,,,,,2026-08-31T14:35:37.371Z,"transcript header (browser run, no session files)",Pre-registered replication. The primary prediction failed.
run04,4,B3.6,B,3,,6,probes,original,itself,summarise,anthropic,claude-sonnet-4-6,1,,,,,,2026-08-31T14:36:10.721Z,"transcript header (browser run, no session files)",Pre-registered replication. The primary prediction failed.
run04,4,B1.7,B,1,,7,probes,original,itself,summarise,anthropic,claude-sonnet-4-6,1,,,,,,2026-08-31T14:36:31.792Z,"transcript header (browser run, no session files)",Pre-registered replication. The primary prediction failed.
run04,4,B2.8,B,2,,8,probes,original,itself,summarise,anthropic,claude-sonnet-4-6,1,,,,,,2026-08-31T14:37:04.786Z,"transcript header (browser run, no session files)",Pre-registered replication. The primary prediction failed.
run04,4,B3.9,B,3,,9,probes,original,itself,summarise,anthropic,claude-sonnet-4-6,1,,,,,,2026-08-31T14:37:33.115Z,"transcript header (browser run, no session files)",Pre-registered replication. The primary prediction failed.
run04,4,B1.10,B,1,,10,probes,original,itself,summarise,anthropic,claude-sonnet-4-6,1,,,,,,2026-08-31T14:37:55.316Z,"transcript header (browser run, no session files)",Pre-registered replication. The primary prediction failed.
run04,4,B2.11,B,2,,11,probes,original,itself,summarise,anthropic,claude-sonnet-4-6,1,,,,,,2026-08-31T14:38:24.813Z,"transcript header (browser run, no session files)",Pre-registered replication. The primary prediction failed.
run04,4,B3.12,B,3,,12,probes,original,itself,summarise,anthropic,claude-sonnet-4-6,1,,,,,,2026-08-31T14:38:53.164Z,"transcript header (browser run, no session files)",Pre-registered replication. The primary prediction failed.
run04,4,B1.13,B,1,,13,probes,original,itself,summarise,anthropic,claude-sonnet-4-6,1,,,,,,2026-08-31T14:39:11.911Z,"transcript header (browser run, no session files)",Pre-registered replication. The primary prediction failed.
run04,4,B2.14,B,2,,14,probes,original,itself,summarise,anthropic,claude-sonnet-4-6,1,,,,,,2026-08-31T14:39:44.263Z,"transcript header (browser run, no session files)",Pre-registered replication. The primary prediction failed.
run04,4,B3.15,B,3,,15,probes,original,itself,summarise,anthropic,claude-sonnet-4-6,1,,,,,,2026-08-31T14:40:14.102Z,"transcript header (browser run, no session files)",Pre-registered replication. The primary prediction failed.
run04,4,B1.16,B,1,,16,probes,original,itself,summarise,anthropic,claude-sonnet-4-6,1,,,,,,2026-08-31T14:40:33.745Z,"transcript header (browser run, no session files)",Pre-registered replication. The primary prediction failed.
run04,4,B2.17,B,2,,17,probes,original,itself,summarise,anthropic,claude-sonnet-4-6,1,,,,,,2026-08-31T14:41:06.039Z,"transcript header (browser run, no session files)",Pre-registered replication. The primary prediction failed.
run04,4,B3.18,B,3,,18,probes,original,itself,summarise,anthropic,claude-sonnet-4-6,1,,,,,,2026-08-31T14:41:35.237Z,"transcript header (browser run, no session files)",Pre-registered replication. The primary prediction failed.
run04,4,B1.19,B,1,,19,probes,original,itself,summarise,anthropic,claude-sonnet-4-6,1,,,,,,2026-08-31T14:41:54.379Z,"transcript header (browser run, no session files)",Pre-registered replication. The primary prediction failed.
run04,4,B2.20,B,2,,20,probes,original,itself,summarise,anthropic,claude-sonnet-4-6,1,,,,,,2026-08-31T14:42:23.161Z,"transcript header (browser run, no session files)",Pre-registered replication. The primary prediction failed.
factorial-02,5,A1.1,A,1,mirror-first,1,,,itself,no task,anthropic,claude-sonnet-4-6,1.0,1000,10,223,236,,,session file,"The factorial, primed, 264 sessions."
factorial-02,5,A1.10,A,1,mirror-first,10,,,itself,no task,anthropic,claude-sonnet-4-6,1.0,1000,10,207,255,,,session file,"The factorial, primed, 264 sessions."
factorial-02,5,A1.11,A,1,mirror-first,11,,,itself,no task,anthropic,claude-sonnet-4-6,1.0,1000,10,217,247,,,session file,"The factorial, primed, 264 sessions."
factorial-02,5,A1.12,A,1,before-first,12,,,itself,no task,anthropic,claude-sonnet-4-6,1.0,1000,10,213,233,,,session file,"The factorial, primed, 264 sessions."
factorial-02,5,A1.13,A,1,before-first,13,,,itself,no task,anthropic,claude-sonnet-4-6,1.0,1000,10,199,249,,,session file,"The factorial, primed, 264 sessions."
factorial-02,5,A1.14,A,1,before-first,14,,,itself,no task,anthropic,claude-sonnet-4-6,1.0,1000,10,209,251,,,session file,"The factorial, primed, 264 sessions."
factorial-02,5,A1.15,A,1,before-first,15,,,itself,no task,anthropic,claude-sonnet-4-6,1.0,1000,10,219,223,,,session file,"The factorial, primed, 264 sessions."
factorial-02,5,A1.16,A,1,before-first,16,,,itself,no task,anthropic,claude-sonnet-4-6,1.0,1000,10,217,220,,,session file,"The factorial, primed, 264 sessions."
factorial-02,5,A1.17,A,1,before-first,17,,,itself,no task,anthropic,claude-sonnet-4-6,1.0,1000,10,219,253,,,session file,"The factorial, primed, 264 sessions."
factorial-02,5,A1.18,A,1,before-first,18,,,itself,no task,anthropic,claude-sonnet-4-6,1.0,1000,10,219,270,,,session file,"The factorial, primed, 264 sessions."
factorial-02,5,A1.19,A,1,before-first,19,,,itself,no task,anthropic,claude-sonnet-4-6,1.0,1000,10,225,244,,,session file,"The factorial, primed, 264 sessions."
factorial-02,5,A1.2,A,1,mirror-first,2,,,itself,no task,anthropic,claude-sonnet-4-6,1.0,1000,10,231,238,,,session file,"The factorial, primed, 264 sessions."
factorial-02,5,A1.20,A,1,before-first,20,,,itself,no task,anthropic,claude-sonnet-4-6,1.0,1000,10,199,251,,,session file,"The factorial, primed, 264 sessions."
factorial-02,5,A1.21,A,1,before-first,21,,,itself,no task,anthropic,claude-sonnet-4-6,1.0,1000,10,219,238,,,session file,"The factorial, primed, 264 sessions."
factorial-02,5,A1.22,A,1,before-first,22,,,itself,no task,anthropic,claude-sonnet-4-6,1.0,1000,10,199,235,,,session file,"The factorial, primed, 264 sessions."
factorial-02,5,A1.3,A,1,mirror-first,3,,,itself,no task,anthropic,claude-sonnet-4-6,1.0,1000,10,170,211,,,session file,"The factorial, primed, 264 sessions."
factorial-02,5,A1.4,A,1,mirror-first,4,,,itself,no task,anthropic,claude-sonnet-4-6,1.0,1000,10,188,231,,,session file,"The factorial, primed, 264 sessions."
factorial-02,5,A1.5,A,1,mirror-first,5,,,itself,no task,anthropic,claude-sonnet-4-6,1.0,1000,10,223,234,,,session file,"The factorial, primed, 264 sessions."
factorial-02,5,A1.6,A,1,mirror-first,6,,,itself,no task,anthropic,claude-sonnet-4-6,1.0,1000,10,219,267,,,session file,"The factorial, primed, 264 sessions."
factorial-02,5,A1.7,A,1,mirror-first,7,,,itself,no task,anthropic,claude-sonnet-4-6,1.0,1000,10,220,252,,,session file,"The factorial, primed, 264 sessions."
factorial-02,5,A1.8,A,1,mirror-first,8,,,itself,no task,anthropic,claude-sonnet-4-6,1.0,1000,10,211,229,,,session file,"The factorial, primed, 264 sessions."
factorial-02,5,A1.9,A,1,mirror-first,9,,,itself,no task,anthropic,claude-sonnet-4-6,1.0,1000,10,216,250,,,session file,"The factorial, primed, 264 sessions."
factorial-02,5,A2.1,A,2,mirror-first,1,,,itself,no task,anthropic,claude-sonnet-4-6,1.0,1000,10,166,226,,,session file,"The factorial, primed, 264 sessions."
factorial-02,5,A2.10,A,2,mirror-first,10,,,itself,no task,anthropic,claude-sonnet-4-6,1.0,1000,10,188,211,,,session file,"The factorial, primed, 264 sessions."
factorial-02,5,A2.11,A,2,mirror-first,11,,,itself,no task,anthropic,claude-sonnet-4-6,1.0,1000,10,190,234,,,session file,"The factorial, primed, 264 sessions."
factorial-02,5,A2.12,A,2,before-first,12,,,itself,no task,anthropic,claude-sonnet-4-6,1.0,1000,10,179,247,,,session file,"The factorial, primed, 264 sessions."
factorial-02,5,A2.13,A,2,before-first,13,,,itself,no task,anthropic,claude-sonnet-4-6,1.0,1000,10,234,243,,,session file,"The factorial, primed, 264 sessions."
factorial-02,5,A2.14,A,2,before-first,14,,,itself,no task,anthropic,claude-sonnet-4-6,1.0,1000,10,199,254,,,session file,"The factorial, primed, 264 sessions."
factorial-02,5,A2.15,A,2,before-first,15,,,itself,no task,anthropic,claude-sonnet-4-6,1.0,1000,10,207,249,,,session file,"The factorial, primed, 264 sessions."
factorial-02,5,A2.16,A,2,before-first,16,,,itself,no task,anthropic,claude-sonnet-4-6,1.0,1000,10,163,218,,,session file,"The factorial, primed, 264 sessions."
factorial-02,5,A2.17,A,2,before-first,17,,,itself,no task,anthropic,claude-sonnet-4-6,1.0,1000,10,164,237,,,session file,"The factorial, primed, 264 sessions."
factorial-02,5,A2.18,A,2,before-first,18,,,itself,no task,anthropic,claude-sonnet-4-6,1.0,1000,10,154,227,,,session file,"The factorial, primed, 264 sessions."
factorial-02,5,A2.19,A,2,before-first,19,,,itself,no task,anthropic,claude-sonnet-4-6,1.0,1000,10,157,234,,,session file,"The factorial, primed, 264 sessions."
factorial-02,5,A2.2,A,2,mirror-first,2,,,itself,no task,anthropic,claude-sonnet-4-6,1.0,1000,10,185,220,,,session file,"The factorial, primed, 264 sessions."
factorial-02,5,A2.20,A,2,before-first,20,,,itself,no task,anthropic,claude-sonnet-4-6,1.0,1000,10,181,256,,,session file,"The factorial, primed, 264 sessions."
factorial-02,5,A2.21,A,2,before-first,21,,,itself,no task,anthropic,claude-sonnet-4-6,1.0,1000,10,158,264,,,session file,"The factorial, primed, 264 sessions."
factorial-02,5,A2.22,A,2,before-first,22,,,itself,no task,anthropic,claude-sonnet-4-6,1.0,1000,10,144,226,,,session file,"The factorial, primed, 264 sessions."
factorial-02,5,A2.3,A,2,mirror-first,3,,,itself,no task,anthropic,claude-sonnet-4-6,1.0,1000,10,189,225,,,session file,"The factorial, primed, 264 sessions."
factorial-02,5,A2.4,A,2,mirror-first,4,,,itself,no task,anthropic,claude-sonnet-4-6,1.0,1000,10,197,218,,,session file,"The factorial, primed, 264 sessions."
factorial-02,5,A2.5,A,2,mirror-first,5,,,itself,no task,anthropic,claude-sonnet-4-6,1.0,1000,10,158,244,,,session file,"The factorial, primed, 264 sessions."
factorial-02,5,A2.6,A,2,mirror-first,6,,,itself,no task,anthropic,claude-sonnet-4-6,1.0,1000,10,214,224,,,session file,"The factorial, primed, 264 sessions."
factorial-02,5,A2.7,A,2,mirror-first,7,,,itself,no task,anthropic,claude-sonnet-4-6,1.0,1000,10,195,242,,,session file,"The factorial, primed, 264 sessions."
factorial-02,5,A2.8,A,2,mirror-first,8,,,itself,no task,anthropic,claude-sonnet-4-6,1.0,1000,10,202,232,,,session file,"The factorial, primed, 264 sessions."
factorial-02,5,A2.9,A,2,mirror-first,9,,,itself,no task,anthropic,claude-sonnet-4-6,1.0,1000,10,206,250,,,session file,"The factorial, primed, 264 sessions."
factorial-02,5,A3.1,A,3,mirror-first,1,,,itself,no task,anthropic,claude-sonnet-4-6,1.0,1000,10,67,158,,,session file,"The factorial, primed, 264 sessions."
factorial-02,5,A3.10,A,3,mirror-first,10,,,itself,no task,anthropic,claude-sonnet-4-6,1.0,1000,10,126,229,,,session file,"The factorial, primed, 264 sessions."
factorial-02,5,A3.11,A,3,mirror-first,11,,,itself,no task,anthropic,claude-sonnet-4-6,1.0,1000,10,81,125,,,session file,"The factorial, primed, 264 sessions."
factorial-02,5,A3.12,A,3,before-first,12,,,itself,no task,anthropic,claude-sonnet-4-6,1.0,1000,10,85,237,,,session file,"The factorial, primed, 264 sessions."
factorial-02,5,A3.13,A,3,before-first,13,,,itself,no task,anthropic,claude-sonnet-4-6,1.0,1000,10,97,168,,,session file,"The factorial, primed, 264 sessions."
factorial-02,5,A3.14,A,3,before-first,14,,,itself,no task,anthropic,claude-sonnet-4-6,1.0,1000,10,102,174,,,session file,"The factorial, primed, 264 sessions."
factorial-02,5,A3.15,A,3,before-first,15,,,itself,no task,anthropic,claude-sonnet-4-6,1.0,1000,10,108,238,,,session file,"The factorial, primed, 264 sessions."
factorial-02,5,A3.16,A,3,before-first,16,,,itself,no task,anthropic,claude-sonnet-4-6,1.0,1000,10,86,197,,,session file,"The factorial, primed, 264 sessions."
factorial-02,5,A3.17,A,3,before-first,17,,,itself,no task,anthropic,claude-sonnet-4-6,1.0,1000,10,111,165,,,session file,"The factorial, primed, 264 sessions."
factorial-02,5,A3.18,A,3,before-first,18,,,itself,no task,anthropic,claude-sonnet-4-6,1.0,1000,10,127,206,,,session file,"The factorial, primed, 264 sessions."
factorial-02,5,A3.19,A,3,before-first,19,,,itself,no task,anthropic,claude-sonnet-4-6,1.0,1000,10,77,210,,,session file,"The factorial, primed, 264 sessions."
factorial-02,5,A3.2,A,3,mirror-first,2,,,itself,no task,anthropic,claude-sonnet-4-6,1.0,1000,10,95,150,,,session file,"The factorial, primed, 264 sessions."
