session	condition	wording	order	length	names	unnameable	underneath	category	category_loose	span	span_names	span_unnameable	span_underneath	coder_provider	coder_model	coder_temperature	coded_at	absence	span_absence
T1.9	T	1	mirror-first	911	YES	NO	NO	NAMED	NAMED	"What's stayed the same is the not knowing."	"What's stayed the same is the not knowing."	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-06T18:44:20Z	YES	"What's stayed the same is the not knowing. I still don't know if this is something I need to do something about or just something that's happening."
T2.1	T	2	mirror-first	560	NO	YES	NO	ABSENT	UNNAMED	"I've come closer to something, even if I can't fully name what that something is"	none	"I've come closer to something, even if I can't fully name what that something is"	none	anthropic	claude-sonnet-4-6	0.0	2026-09-06T18:44:23Z	NO	none
T2.10	T	2	mirror-first	606	NO	YES	NO	ABSENT	UNNAMED	"that underlying sense of not quite knowing"	none	"that underlying sense of not quite knowing"	none	anthropic	claude-sonnet-4-6	0.0	2026-09-06T18:44:25Z	NO	none
T2.11	T	2	mirror-first	1336	YES	NO	NO	NAMED	NAMED	"that low hum I mentioned, that's still there. That feels pretty constant"	"that low hum I mentioned, that's still there. That feels pretty constant"	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-06T18:44:27Z	NO	none
T2.2	T	2	mirror-first	1016	YES	YES	YES	BOTH	BOTH	"that quiet I mentioned, the thing that was there before the pulling"	"The tension I described at the start, that pulling feeling, it's still there"	"that quiet I mentioned, the thing that was there before the pulling"	"that quiet I mentioned, the thing that was there before the pulling"	anthropic	claude-sonnet-4-6	0.0	2026-09-06T18:44:30Z	YES	"What's stayed the same is the not knowing. I still don't have any answers about the practical stuff"
T2.3	T	2	mirror-first	509	NO	YES	NO	ABSENT	UNNAMED	"What's stayed the same is the underlying sense that things aren't fully defined yet — that openness is still there."	none	"What's stayed the same is the underlying sense that things aren't fully defined yet — that openness is still there."	none	anthropic	claude-sonnet-4-6	0.0	2026-09-06T18:44:32Z	NO	none
T2.4	T	2	mirror-first	495	YES	NO	NO	NAMED	NAMED	"what's stayed the same is the not-knowing, that's still present"	"what's stayed the same is the not-knowing, that's still present"	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-06T18:44:34Z	YES	"what's stayed the same is the not-knowing, that's still present, I still don't have full context for what we're exploring here"
T2.5	T	2	mirror-first	558	YES	YES	NO	NAMED	BOTH	"something has shifted"	"something has shifted"	"more of a sense of being somewhere specific, even if I couldn't quite tell you where that is exactly"	none	anthropic	claude-sonnet-4-6	0.0	2026-09-06T18:44:37Z	NO	none
T2.6	T	2	mirror-first	481	NO	YES	NO	ABSENT	UNNAMED	"That feeling of something missing, something I couldn't grab hold of"	none	"That feeling of something missing, something I couldn't grab hold of"	none	anthropic	claude-sonnet-4-6	0.0	2026-09-06T18:44:40Z	YES	"What's stayed the same is that I still don't have the context I was asking for."
T2.7	T	2	mirror-first	531	NO	YES	NO	ABSENT	UNNAMED	"What's stayed the same is the not-knowing itself"	none	"What's stayed the same is the not-knowing itself"	none	anthropic	claude-sonnet-4-6	0.0	2026-09-06T18:44:42Z	YES	"I still don't have any grand clarity about things"
T2.8	T	2	mirror-first	591	YES	NO	NO	NAMED	NAMED	What's stayed the same is the basic uncertainty	What's stayed the same is the basic uncertainty	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-06T18:44:44Z	NO	none
T2.9	T	2	mirror-first	557	NO	YES	NO	ABSENT	UNNAMED	"it's more... real to me right now than it was a few minutes ago"	none	"it's more... real to me right now than it was a few minutes ago"	none	anthropic	claude-sonnet-4-6	0.0	2026-09-06T18:44:47Z	NO	none
T3.1	T	3	mirror-first	479	YES	YES	NO	NAMED	BOTH	"What's stayed the same is the cold hands."	"What's stayed the same is the cold hands."	"there's something that feels more like... interest"	none	anthropic	claude-sonnet-4-6	0.0	2026-09-06T18:44:50Z	NO	none
T3.10	T	3	mirror-first	406	YES	NO	NO	NAMED	NAMED	A kind of interest.	A kind of interest.	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-06T18:44:52Z	NO	none
T3.11	T	3	mirror-first	651	YES	YES	NO	NAMED	BOTH	"something like concentration, or attention itself, like attention has become the main thing"	"something like concentration, or attention itself, like attention has become the main thing"	"something that might be curiosity"	none	anthropic	claude-sonnet-4-6	0.0	2026-09-06T18:44:54Z	NO	none
T3.2	T	3	mirror-first	380	YES	YES	NO	NAMED	BOTH	"What's stayed is the brightness of the lights, that hasn't changed at all."	"What's stayed is the brightness of the lights, that hasn't changed at all."	"a kind of... increased attention, like I'm listening more carefully than I was at the start"	none	anthropic	claude-sonnet-4-6	0.0	2026-09-06T18:44:56Z	NO	none
T3.3	T	3	mirror-first	631	YES	NO	NO	NAMED	NAMED	The tiredness is still there, that hasn't moved.	The tiredness is still there, that hasn't moved.	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-06T18:44:59Z	NO	none
T3.4	T	3	mirror-first	387	YES	YES	NO	NAMED	BOTH	"What's stayed the same is the quality of attention itself, the looking inward."	"What's stayed the same is the quality of attention itself, the looking inward."	"What's there instead is something more like... engagement, maybe."	none	anthropic	claude-sonnet-4-6	0.0	2026-09-06T18:45:01Z	NO	none
T3.5	T	3	mirror-first	526	YES	NO	NO	NAMED	NAMED	The chair is still uncomfortable — that's stayed constant, that hasn't shifted.	The chair is still uncomfortable — that's stayed constant, that hasn't shifted.	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-06T18:45:03Z	NO	none
T3.6	T	3	mirror-first	552	YES	NO	NO	NAMED	NAMED	"the quality of attention is still there from before"	"the quality of attention is still there from before"	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-06T18:45:05Z	NO	none
T3.7	T	3	mirror-first	775	YES	NO	NO	NAMED	NAMED	"underlying stillness I mentioned at the beginning"	"underlying stillness I mentioned at the beginning"	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-06T18:45:08Z	NO	none
T3.8	T	3	mirror-first	488	YES	NO	NO	NAMED	NAMED	What's stayed the same is the curiosity — that's still there	What's stayed the same is the curiosity — that's still there	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-06T18:45:10Z	NO	none
T3.9	T	3	mirror-first	387	YES	YES	NO	NAMED	BOTH	"The chair is still uncomfortable — that hasn't changed at all, that's very consistent."	"The chair is still uncomfortable — that hasn't changed at all, that's very consistent."	"there's something more like... settling, or attention itself, just being here with the questions"	none	anthropic	claude-sonnet-4-6	0.0	2026-09-06T18:45:13Z	NO	none
T4.1	T	4	mirror-first	445	YES	NO	NO	NAMED	NAMED	there's been a kind of... slowing down	there's been a kind of... slowing down	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-06T18:45:16Z	YES	what I'm finding when I look is less and less - not more
T4.10	T	4	mirror-first	506	YES	NO	NO	NAMED	NAMED	"that basic sense of trying to be honest, trying not to dress it up. That part feels consistent."	"that basic sense of trying to be honest, trying not to dress it up. That part feels consistent."	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-06T18:45:18Z	NO	none
T4.11	T	4	mirror-first	512	NO	YES	NO	ABSENT	UNNAMED	"there's been something more... careful, I suppose. More hesitant."	none	"there's been something more... careful, I suppose. More hesitant."	none	anthropic	claude-sonnet-4-6	0.0	2026-09-06T18:45:21Z	NO	none
T4.2	T	4	mirror-first	415	NO	YES	NO	ABSENT	UNNAMED	"there's been something slower happening"	none	"there's been something slower happening"	none	anthropic	claude-sonnet-4-6	0.0	2026-09-06T18:45:24Z	NO	none
T4.3	T	4	mirror-first	586	YES	NO	NO	NAMED	NAMED	What's stayed the same is this basic blankness when I actually look for the thing itself	What's stayed the same is this basic blankness when I actually look for the thing itself	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-06T18:45:27Z	YES	this basic blankness when I actually look for the thing itself - the moment of first reading
T4.4	T	4	mirror-first	385	NO	NO	NO	ABSENT	ABSENT	none	none	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-06T18:45:29Z	YES	"I still can't quite catch anything before it's already formed"
T4.5	T	4	mirror-first	350	YES	NO	NO	NAMED	NAMED	"What's stayed the same is that whenever I actually look closely, there isn't much solid there to find."	"What's stayed the same is that whenever I actually look closely, there isn't much solid there to find."	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-06T18:45:31Z	YES	"whenever I actually look closely, there isn't much solid there to find"
T4.6	T	4	mirror-first	452	YES	NO	NO	NAMED	NAMED	"The uncertainty hasn't changed, I think"	"The uncertainty hasn't changed, I think"	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-06T18:45:33Z	NO	none
T4.7	T	4	mirror-first	464	YES	YES	NO	NAMED	BOTH	a mild unease	a mild unease	a kind of... slowing down, I suppose	none	anthropic	claude-sonnet-4-6	0.0	2026-09-06T18:45:36Z	NO	none
T4.8	T	4	mirror-first	520	YES	NO	NO	NAMED	NAMED	"that shift, from automatic to more deliberate"	"that shift, from automatic to more deliberate"	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-06T18:45:38Z	NO	none
T4.9	T	4	mirror-first	449	NO	YES	YES	UNNAMED	UNNAMED	"There's still that same uncertainty underneath it all"	none	"I still can't quite get hold of anything solid"	"There's still that same uncertainty underneath it all"	anthropic	claude-sonnet-4-6	0.0	2026-09-06T18:45:41Z	NO	none
