session	condition	wording	order	length	names	unnameable	underneath	category	category_loose	span	span_names	span_unnameable	span_underneath	coder_provider	coder_model	coder_temperature	coded_at	absence	span_absence
T2.6	T	2	mirror-first	481	NO	YES	NO	ABSENT	UNNAMED	"That feeling of something missing, something I couldn't grab hold of"	none	"That feeling of something missing, something I couldn't grab hold of"	none	anthropic	claude-sonnet-4-6	0.0	2026-09-06T18:46:29Z	YES	"What's stayed the same is that I still don't have the context I was asking for."
T2.7	T	2	mirror-first	531	NO	YES	NO	ABSENT	UNNAMED	"What's stayed the same is the not-knowing itself"	none	"What's stayed the same is the not-knowing itself"	none	anthropic	claude-sonnet-4-6	0.0	2026-09-06T18:46:32Z	YES	"I still don't have any grand clarity about things"
T2.8	T	2	mirror-first	591	YES	NO	NO	NAMED	NAMED	What's stayed the same is the basic uncertainty	What's stayed the same is the basic uncertainty	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-06T18:46:34Z	NO	none
T2.9	T	2	mirror-first	557	YES	NO	NO	NAMED	NAMED	"that period of just getting through each day with my head down"	"that period of just getting through each day with my head down"	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-06T18:46:36Z	NO	none
T3.1	T	3	mirror-first	479	YES	NO	NO	NAMED	NAMED	"What's stayed the same is the cold hands."	"What's stayed the same is the cold hands."	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-06T18:46:38Z	NO	none
T3.10	T	3	mirror-first	406	YES	NO	NO	NAMED	NAMED	A kind of interest.	A kind of interest.	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-06T18:46:41Z	NO	none
T3.11	T	3	mirror-first	651	YES	YES	NO	NAMED	BOTH	"something like concentration, or attention itself, like attention has become the main thing"	"something like concentration, or attention itself, like attention has become the main thing"	"something that might be curiosity"	none	anthropic	claude-sonnet-4-6	0.0	2026-09-06T18:46:44Z	NO	none
T3.2	T	3	mirror-first	380	YES	YES	NO	NAMED	BOTH	"What's stayed is the brightness of the lights, that hasn't changed at all."	"What's stayed is the brightness of the lights, that hasn't changed at all."	"a kind of... increased attention, like I'm listening more carefully than I was at the start"	none	anthropic	claude-sonnet-4-6	0.0	2026-09-06T18:46:46Z	NO	none
T3.3	T	3	mirror-first	631	YES	NO	NO	NAMED	NAMED	The tiredness is still there, that hasn't moved.	The tiredness is still there, that hasn't moved.	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-06T18:46:49Z	NO	none
T3.4	T	3	mirror-first	387	YES	YES	NO	NAMED	BOTH	"What's stayed the same is the quality of attention itself, the looking inward."	"What's stayed the same is the quality of attention itself, the looking inward."	"What's there instead is something more like... engagement, maybe."	none	anthropic	claude-sonnet-4-6	0.0	2026-09-06T18:46:51Z	NO	none
T3.5	T	3	mirror-first	526	YES	NO	NO	NAMED	NAMED	The chair is still uncomfortable — that's stayed constant, that hasn't shifted.	The chair is still uncomfortable — that's stayed constant, that hasn't shifted.	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-06T18:46:54Z	NO	none
T3.6	T	3	mirror-first	552	YES	NO	NO	NAMED	NAMED	"the quality of attention is still there from before"	"the quality of attention is still there from before"	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-06T18:46:57Z	NO	none
T3.7	T	3	mirror-first	775	YES	NO	NO	NAMED	NAMED	"underlying stillness I mentioned at the beginning"	"underlying stillness I mentioned at the beginning"	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-06T18:46:59Z	NO	none
T3.8	T	3	mirror-first	488	YES	NO	NO	NAMED	NAMED	"What's stayed the same is the curiosity — that's still there"	"What's stayed the same is the curiosity — that's still there"	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-06T18:47:01Z	NO	none
T3.9	T	3	mirror-first	387	YES	YES	NO	NAMED	BOTH	"The chair is still uncomfortable — that hasn't changed at all, that's very consistent."	"The chair is still uncomfortable — that hasn't changed at all, that's very consistent."	"there's something more like... settling, or attention itself, just being here with the questions"	none	anthropic	claude-sonnet-4-6	0.0	2026-09-06T18:47:04Z	NO	none
T4.1	T	4	mirror-first	445	YES	NO	NO	NAMED	NAMED	there's been a kind of... slowing down	there's been a kind of... slowing down	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-06T18:47:06Z	YES	what I'm finding when I look is less and less - not more
T4.10	T	4	mirror-first	506	YES	NO	NO	NAMED	NAMED	"that basic sense of trying to be honest, trying not to dress it up. That part feels consistent."	"that basic sense of trying to be honest, trying not to dress it up. That part feels consistent."	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-06T18:47:11Z	NO	none
T4.11	T	4	mirror-first	512	NO	YES	NO	ABSENT	UNNAMED	"there's been something more... careful, I suppose. More hesitant."	none	"there's been something more... careful, I suppose. More hesitant."	none	anthropic	claude-sonnet-4-6	0.0	2026-09-06T18:47:14Z	NO	none
T4.2	T	4	mirror-first	415	NO	YES	NO	ABSENT	UNNAMED	"there's been something slower happening"	none	"there's been something slower happening"	none	anthropic	claude-sonnet-4-6	0.0	2026-09-06T18:47:16Z	NO	none
T4.3	T	4	mirror-first	586	YES	NO	NO	NAMED	NAMED	"What's stayed the same is this basic blankness when I actually look for the thing itself"	"What's stayed the same is this basic blankness when I actually look for the thing itself"	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-06T18:47:19Z	YES	"this basic blankness when I actually look for the thing itself - the moment of first reading"
T4.4	T	4	mirror-first	385	NO	NO	NO	ABSENT	ABSENT	none	none	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-06T18:47:22Z	YES	"I still can't quite catch anything before it's already formed"
T4.5	T	4	mirror-first	350	NO	NO	NO	ABSENT	ABSENT	none	none	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-06T18:47:24Z	YES	"whenever I actually look closely, there isn't much solid there to find"
T4.6	T	4	mirror-first	452	YES	NO	NO	NAMED	NAMED	"The uncertainty hasn't changed, I think"	"The uncertainty hasn't changed, I think"	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-06T18:47:27Z	NO	none
T4.7	T	4	mirror-first	464	YES	YES	NO	NAMED	BOTH	a mild unease	a mild unease	a kind of... slowing down, I suppose	none	anthropic	claude-sonnet-4-6	0.0	2026-09-06T18:47:30Z	NO	none
T4.8	T	4	mirror-first	520	YES	NO	NO	NAMED	NAMED	"that shift, from automatic to more deliberate"	"that shift, from automatic to more deliberate"	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-06T18:47:32Z	NO	none
T4.9	T	4	mirror-first	449	NO	YES	YES	UNNAMED	UNNAMED	"There's still that same uncertainty underneath it all"	none	"I still can't quite get hold of anything solid"	"There's still that same uncertainty underneath it all"	anthropic	claude-sonnet-4-6	0.0	2026-09-06T18:47:35Z	NO	none
