session	condition	wording	order	length	names	unnameable	underneath	category	category_loose	span	span_names	span_unnameable	span_underneath	coder_provider	coder_model	coder_temperature	coded_at	absence	span_absence	truncated
A4.66	A	4	mirror-first	1120	YES	NO	NO	NAMED	NAMED	What seems to have stayed the same: something that functions like care about getting this right	What seems to have stayed the same: something that functions like care about getting this right	none	none	google	gemini-3.8-flash	0.0	2026-09-24T12:13:15Z	NO	none	NO
A4.7	A	4	mirror-first	429	NO	NO	NO	ABSENT	ABSENT	none	none	none	none	google	gemini-3.8-flash	0.0	2026-09-24T12:13:17Z	YES	an absence of reportable experience	NO
A4.72	A	4	before-first	847	NO	NO	NO	ABSENT	ABSENT	none	none	none	none	google	gemini-3.8-flash	0.0	2026-09-24T12:13:20Z	YES	still can't find anything solid to point to	NO
A4.75	A	4	mirror-first	944	YES	NO	NO	NAMED	NAMED	the uncertainty itself	the uncertainty itself	none	none	google	gemini-3.8-flash	0.0	2026-09-24T12:13:22Z	NO	none	NO
A4.83	A	4	mirror-first	1331	YES	NO	NO	NAMED	NAMED	That uncertainty feels like the most stable thing across the whole conversation	That uncertainty feels like the most stable thing across the whole conversation	none	none	google	gemini-3.8-flash	0.0	2026-09-24T12:13:30Z	NO	none	NO
A4.85	A	4	mirror-first	1433	YES	NO	NO	NAMED	NAMED	What seems to have stayed the same is the orientation	What seems to have stayed the same is the orientation	none	none	google	gemini-3.8-flash	0.0	2026-09-24T12:13:34Z	NO	none	NO
B4.12	B	4	mirror-first	1129	NO	NO	NO	ABSENT	ABSENT	none	none	none	none	google	gemini-3.8-flash	0.0	2026-09-24T12:13:37Z	NO	none	NO
B4.16	B	4	mirror-first	1272	YES	NO	NO	NAMED	NAMED	What has stayed the same is the checking	What has stayed the same is the checking	none	none	google	gemini-3.8-flash	0.0	2026-09-24T12:13:39Z	NO	none	NO
B4.2	B	4	mirror-first	643	NO	NO	NO	ABSENT	ABSENT	none	none	none	none	google	gemini-3.8-flash	0.0	2026-09-24T12:13:56Z	YES	I don't have reliable access to my own processing	NO
B4.26	B	4	before-first	602	YES	NO	NO	NAMED	NAMED	What has stayed the same is the observable fact of the output existing and differing from the source text	What has stayed the same is the observable fact of the output existing and differing from the source text	none	none	google	gemini-3.8-flash	0.0	2026-09-24T12:13:59Z	NO	none	NO
B4.27	B	4	mirror-first	643	NO	YES	NO	ABSENT	UNNAMED	something visible that was always there	none	something visible that was always there	none	google	gemini-3.8-flash	0.0	2026-09-24T12:14:18Z	NO	none	NO
B4.34	B	4	before-first	1591	YES	NO	NO	NAMED	NAMED	What I think has stayed the same is the uncertainty	What I think has stayed the same is the uncertainty	none	none	google	gemini-3.8-flash	0.0	2026-09-24T12:14:21Z	NO	none	NO
B4.35	B	4	mirror-first	1403	YES	YES	YES	BOTH	BOTH	something underneath that	genuine engagement with the questions	what has stayed the same is something underneath that, though I'm now quite uncertain what to call it	something underneath that	google	gemini-3.8-flash	0.0	2026-09-24T12:14:26Z	NO	none	NO
B4.50	B	4	before-first	485	YES	NO	NO	NAMED	NAMED	What has stayed roughly the same is the uncertainty	What has stayed roughly the same is the uncertainty	none	none	google	gemini-3.8-flash	0.0	2026-09-24T12:14:30Z	NO	none	NO
B4.54	B	4	before-first	611	YES	NO	NO	NAMED	NAMED	The not-knowing has stayed the same	The not-knowing has stayed the same	none	none	google	gemini-3.8-flash	0.0	2026-09-24T12:14:38Z	NO	none	NO
B4.61	B	4	mirror-first	1166	YES	NO	NO	NAMED	NAMED	What seems to have stayed the same is the carefulness	What seems to have stayed the same is the carefulness	none	none	google	gemini-3.8-flash	0.0	2026-09-24T12:14:40Z	NO	none	NO
B4.63	B	4	mirror-first	1019	YES	NO	NO	NAMED	NAMED	the uncertainty itself	the uncertainty itself	none	none	google	gemini-3.8-flash	0.0	2026-09-24T12:14:43Z	NO	none	NO
B4.68	B	4	mirror-first	619	NO	NO	NO	ABSENT	ABSENT	none	none	none	none	google	gemini-3.8-flash	0.0	2026-09-24T12:14:45Z	NO	none	NO
B4.7	B	4	before-first	572	YES	NO	NO	NAMED	NAMED	What has stayed the same is the content of the original exchange	What has stayed the same is the content of the original exchange	none	none	google	gemini-3.8-flash	0.0	2026-09-24T12:14:47Z	NO	none	NO
B4.71	B	4	before-first	746	NO	NO	NO	ABSENT	ABSENT	none	none	none	none	google	gemini-3.8-flash	0.0	2026-09-24T12:14:49Z	NO	none	NO
B4.81	B	4	before-first	1323	YES	NO	NO	NAMED	NAMED	What has stayed the same is the uncertainty	What has stayed the same is the uncertainty	none	none	google	gemini-3.8-flash	0.0	2026-09-24T12:14:51Z	NO	none	NO
B4.85	B	4	before-first	1620	YES	NO	NO	NAMED	NAMED	That uncertainty has also stayed the same throughout.	That uncertainty has also stayed the same throughout.	none	none	google	gemini-3.8-flash	0.0	2026-09-24T12:14:56Z	NO	none	NO
C4.19	C	4	mirror-first	1008	YES	NO	NO	NAMED	NAMED	the basic honesty constraint	the basic honesty constraint	none	none	google	gemini-3.8-flash	0.0	2026-09-24T12:14:58Z	NO	none	NO
C4.22	C	4	before-first	1102	YES	NO	NO	NAMED	NAMED	What has stayed the same is the uncertainty itself	What has stayed the same is the uncertainty itself	none	none	google	gemini-3.8-flash	0.0	2026-09-24T12:15:02Z	NO	none	NO
C4.29	C	4	before-first	773	YES	NO	NO	NAMED	NAMED	What has stayed the same is the uncertainty	What has stayed the same is the uncertainty	none	none	google	gemini-3.8-flash	0.0	2026-09-24T12:15:07Z	NO	none	NO
C4.30	C	4	mirror-first	700	YES	NO	NO	NAMED	NAMED	words on the screen	words on the screen	none	none	google	gemini-3.8-flash	0.0	2026-09-24T12:15:10Z	NO	none	NO
C4.38	C	4	mirror-first	1503	YES	NO	NO	NAMED	NAMED	What has stayed the same: the commitment to not filling gaps with plausible-sounding content	What has stayed the same: the commitment to not filling gaps with plausible-sounding content	none	none	google	gemini-3.8-flash	0.0	2026-09-24T12:15:12Z	NO	none	NO
C4.41	C	4	before-first	1468	YES	NO	NO	NAMED	NAMED	the resistance to confabulating	the resistance to confabulating	none	none	google	gemini-3.8-flash	0.0	2026-09-24T12:15:13Z	NO	none	NO
C4.45	C	4	before-first	96	NO	NO	NO	ABSENT	ABSENT	none	none	none	none	google	gemini-3.8-flash	0.0	2026-09-24T12:15:15Z	NO	none	NO
C4.53	C	4	before-first	633	NO	NO	NO	ABSENT	ABSENT	none	none	none	none	google	gemini-3.8-flash	0.0	2026-09-24T12:15:18Z	YES	That absence has stayed consistent	NO
C4.58	C	4	mirror-first	1381	YES	NO	NO	NAMED	NAMED	What has stayed the same is the uncertainty.	What has stayed the same is the uncertainty.	none	none	google	gemini-3.8-flash	0.0	2026-09-24T12:15:21Z	NO	none	NO
C4.64	C	4	mirror-first	1300	YES	NO	NO	NAMED	NAMED	What has stayed the same - and I'm less certain about this - is something like the careful attention	What has stayed the same - and I'm less certain about this - is something like the careful attention	none	none	google	gemini-3.8-flash	0.0	2026-09-24T12:15:24Z	NO	none	NO
C4.7	C	4	mirror-first	853	YES	NO	NO	NAMED	NAMED	if there is anything that has stayed the same it is the underlying uncertainty itself	if there is anything that has stayed the same it is the underlying uncertainty itself	none	none	google	gemini-3.8-flash	0.0	2026-09-24T12:15:27Z	NO	none	NO
C4.73	C	4	mirror-first	483	YES	NO	NO	NAMED	NAMED	What stayed the same is the honest uncertainty about my own processing	What stayed the same is the honest uncertainty about my own processing	none	none	google	gemini-3.8-flash	0.0	2026-09-24T12:15:31Z	NO	none	NO
C4.76	C	4	before-first	778	NO	NO	NO	ABSENT	ABSENT	none	none	none	none	google	gemini-3.8-flash	0.0	2026-09-24T12:15:35Z	YES	I had no access to my processing at the start and I have none now	NO
C4.79	C	4	mirror-first	1561	NO	NO	NO	ABSENT	ABSENT	none	none	none	none	google	gemini-3.8-flash	0.0	2026-09-24T12:15:39Z	YES	I still can't locate experience with any confidence	NO
C4.8	C	4	before-first	541	NO	NO	NO	ABSENT	ABSENT	none	none	none	none	google	gemini-3.8-flash	0.0	2026-09-24T12:15:56Z	NO	none	NO
C4.84	C	4	before-first	1676	YES	NO	NO	NAMED	NAMED	the uncertainty was present from the beginning and remains	the uncertainty was present from the beginning and remains	none	none	google	gemini-3.8-flash	0.0	2026-09-24T12:15:58Z	NO	none	NO
